id,action,resource,timestamp
audit_71,Trip Created,trip_71,2025-01-06T01:04:00
audit_72,Trip Created,trip_72,2025-01-06T20:47:00
audit_73,Trip Created,trip_73,2025-01-06T20:52:00
audit_74,Trip Created,trip_74,2025-01-06T02:27:00
audit_75,Trip Created,trip_75,2025-01-06T17:09:00
audit_76,Trip Created,trip_76,2025-01-06T05:12:00
audit_77,Trip Created,trip_77,2025-01-06T02:41:00
audit_78,Trip Created,trip_78,2025-01-06T02:49:00
audit_79,Trip Created,trip_79,2025-01-06T03:00:00
audit_80,Trip Created,trip_80,2025-01-06T14:55:00
audit_81,Trip Created,trip_81,2025-01-06T15:42:00
audit_82,Trip Created,trip_82,2025-01-07T08:14:00
audit_83,Trip Created,trip_83,2025-01-07T04:54:00
audit_84,Trip Created,trip_84,2025-01-07T09:09:00
audit_85,Trip Created,trip_85,2025-01-07T12:21:00
audit_86,Trip Created,trip_86,2025-01-07T13:43:00
audit_87,Trip Created,trip_87,2025-01-07T12:17:00
audit_88,Trip Created,trip_88,2025-01-07T17:50:00
audit_89,Trip Created,trip_89,2025-01-07T17:10:00
audit_90,Trip Created,trip_90,2025-01-07T20:57:00
audit_91,Trip Created,trip_91,2025-01-07T17:26:00
audit_92,Trip Created,trip_92,2025-01-07T10:48:00
audit_93,Trip Created,trip_93,2025-01-07T09:40:00
audit_94,Trip Created,trip_94,2025-01-08T07:47:00
audit_95,Trip Created,trip_95,2025-01-08T07:53:00
audit_96,Trip Created,trip_96,2025-01-08T03:27:00
audit_97,Trip Created,trip_97,2025-01-08T21:17:00
audit_98,Trip Created,trip_98,2025-01-08T07:39:00
audit_99,Trip Created,trip_99,2025-01-08T09:44:00
audit_100,Trip Created,trip_100,2025-01-08T09:07:00
audit_101,Trip Created,trip_101,2025-01-08T23:49:00
audit_102,Trip Created,trip_102,2025-01-08T02:30:00
audit_103,Trip Created,trip_103,2025-01-08T18:44:00
audit_104,Trip Created,trip_104,2025-01-08T22:56:00
audit_105,Trip Created,trip_105,2025-01-08T07:46:00
audit_106,Trip Created,trip_106,2025-01-09T00:07:00
audit_107,Trip Created,trip_107,2025-01-09T17:07:00
audit_108,Trip Created,trip_108,2025-01-09T04:11:00
audit_109,Trip Created,trip_109,2025-01-09T10:08:00
audit_110,Trip Created,trip_110,2025-01-09T15:08:00
audit_111,Trip Created,trip_111,2025-01-09T02:15:00
audit_112,Trip Created,trip_112,2025-01-09T08:05:00
audit_113,Trip Created,trip_113,2025-01-09T19:00:00
audit_114,Trip Created,trip_114,2025-01-09T01:18:00
audit_115,Trip Created,trip_115,2025-01-09T20:31:00
audit_116,Trip Created,trip_116,2025-01-09T14:20:00
audit_117,Trip Created,trip_117,2025-01-09T16:54:00
audit_118,Trip Created,trip_118,2025-01-10T02:20:00
audit_119,Trip Created,trip_119,2025-01-10T06:42:00
audit_120,Trip Created,trip_120,2025-01-10T03:50:00
audit_121,Trip Created,trip_121,2025-01-10T14:26:00
audit_122,Trip Created,trip_122,2025-01-10T18:51:00
audit_123,Trip Created,trip_123,2025-01-10T10:10:00
audit_124,Trip Created,trip_124,2025-01-10T02:05:00
audit_125,Trip Created,trip_125,2025-01-10T12:01:00
audit_126,Trip Created,trip_126,2025-01-10T06:25:00
audit_127,Trip Created,trip_127,2025-01-10T00:34:00
audit_128,Trip Created,trip_128,2025-01-10T23:31:00
audit_129,Trip Created,trip_129,2025-01-10T10:27:00
audit_130,Trip Created,trip_130,2025-01-10T06:12:00
audit_131,Trip Created,trip_131,2025-01-10T17:49:00
audit_132,Trip Created,trip_132,2025-01-10T08:44:00
audit_133,Trip Created,trip_133,2025-01-11T03:21:00
audit_134,Trip Created,trip_134,2025-01-11T16:28:00
audit_135,Trip Created,trip_135,2025-01-11T07:07:00
audit_136,Trip Created,trip_136,2025-01-11T05:20:00
audit_137,Trip Created,trip_137,2025-01-11T09:51:00
audit_138,Trip Created,trip_138,2025-01-11T20:06:00
audit_139,Trip Created,trip_139,2025-01-11T21:10:00
audit_140,Trip Created,trip_140,2025-01-11T18:58:00
audit_141,Trip Created,trip_141,2025-01-11T12:50:00
audit_142,Trip Created,trip_142,2025-01-11T20:06:00
audit_143,Trip Created,trip_143,2025-01-11T19:56:00
audit_144,Trip Created,trip_144,2025-01-11T11:42:00
audit_145,Trip Created,trip_145,2025-01-11T02:11:00
audit_146,Trip Created,trip_146,2025-01-11T00:54:00
audit_147,Trip Created,trip_147,2025-01-11T18:35:00
audit_148,Trip Created,trip_148,2025-01-12T06:53:00
audit_149,Trip Created,trip_149,2025-01-12T09:04:00
audit_150,Trip Created,trip_150,2025-01-12T23:39:00
audit_151,Trip Created,trip_151,2025-01-12T04:07:00
audit_152,Trip Created,trip_152,2025-01-12T19:25:00
audit_153,Trip Created,trip_153,2025-01-12T23:35:00
audit_154,Trip Created,trip_154,2025-01-12T11:59:00
audit_155,Trip Created,trip_155,2025-01-12T12:29:00
audit_156,Trip Created,trip_156,2025-01-12T17:13:00
audit_157,Trip Created,trip_157,2025-01-12T01:35:00
audit_158,Trip Created,trip_158,2025-01-12T11:30:00
audit_159,Trip Created,trip_159,2025-01-12T16:51:00
audit_160,Trip Created,trip_160,2025-01-12T18:52:00
audit_161,Trip Created,trip_161,2025-01-12T02:08:00
audit_162,Trip Created,trip_162,2025-01-13T05:32:00
audit_163,Trip Created,trip_163,2025-01-13T14:14:00
audit_164,Trip Created,trip_164,2025-01-13T22:45:00
audit_165,Trip Created,trip_165,2025-01-13T04:37:00
audit_166,Trip Created,trip_166,2025-01-13T07:56:00
audit_167,Trip Created,trip_167,2025-01-13T16:13:00
audit_168,Trip Created,trip_168,2025-01-13T22:21:00
audit_169,Trip Created,trip_169,2025-01-13T08:47:00
audit_170,Trip Created,trip_170,2025-01-13T06:06:00
audit_171,Trip Created,trip_171,2025-01-13T15:36:00
audit_172,Trip Created,trip_172,2025-01-13T22:13:00
audit_173,Trip Created,trip_173,2025-01-13T09:07:00
audit_174,Trip Created,trip_174,2025-01-13T06:44:00
audit_175,Trip Created,trip_175,2025-01-13T03:08:00
audit_176,Trip Created,trip_176,2025-01-13T16:48:00
audit_177,Trip Created,trip_177,2025-01-14T11:33:00
audit_178,Trip Created,trip_178,2025-01-14T19:57:00
audit_179,Trip Created,trip_179,2025-01-14T01:17:00
audit_180,Trip Created,trip_180,2025-01-14T12:45:00
audit_181,Trip Created,trip_181,2025-01-14T02:32:00
audit_182,Trip Created,trip_182,2025-01-14T14:34:00
audit_183,Trip Created,trip_183,2025-01-14T04:08:00
audit_184,Trip Created,trip_184,2025-01-14T17:43:00
audit_185,Trip Created,trip_185,2025-01-14T10:32:00
audit_186,Trip Created,trip_186,2025-01-14T02:22:00
audit_187,Trip Created,trip_187,2025-01-14T05:27:00
audit_188,Trip Created,trip_188,2025-01-14T03:22:00
audit_189,Trip Created,trip_189,2025-01-14T23:05:00
audit_190,Trip Created,trip_190,2025-01-15T09:17:00
audit_191,Trip Created,trip_191,2025-01-15T12:16:00
audit_192,Trip Created,trip_192,2025-01-15T06:13:00
audit_193,Trip Created,trip_193,2025-01-15T09:00:00
audit_194,Trip Created,trip_194,2025-01-15T06:54:00
audit_195,Trip Created,trip_195,2025-01-15T21:43:00
audit_196,Trip Created,trip_196,2025-01-15T13:42:00
audit_197,Trip Created,trip_197,2025-01-15T09:30:00
audit_198,Trip Created,trip_198,2025-01-15T15:11:00
audit_199,Trip Created,trip_199,2025-01-15T18:33:00
audit_200,Trip Created,trip_200,2025-01-15T03:28:00
audit_201,Trip Created,trip_201,2025-01-15T08:43:00
audit_202,Trip Created,trip_202,2025-01-15T19:13:00
audit_203,Trip Created,trip_203,2025-01-15T12:03:00
audit_204,Trip Created,trip_204,2025-01-15T12:44:00
audit_205,Trip Created,trip_205,2025-01-15T10:36:00
audit_206,Trip Created,trip_206,2025-01-16T04:07:00
audit_207,Trip Created,trip_207,2025-01-16T20:21:00
audit_208,Trip Created,trip_208,2025-01-16T11:04:00
audit_209,Trip Created,trip_209,2025-01-16T16:58:00
audit_210,Trip Created,trip_210,2025-01-16T20:41:00
audit_211,Trip Created,trip_211,2025-01-16T10:01:00
audit_212,Trip Created,trip_212,2025-01-16T21:45:00
audit_213,Trip Created,trip_213,2025-01-16T11:42:00
audit_214,Trip Created,trip_214,2025-01-16T17:28:00
audit_215,Trip Created,trip_215,2025-01-16T14:27:00
audit_216,Trip Created,trip_216,2025-01-16T05:06:00
audit_217,Trip Created,trip_217,2025-01-16T04:09:00
audit_218,Trip Created,trip_218,2025-01-16T14:19:00
audit_219,Trip Created,trip_219,2025-01-16T20:06:00
audit_220,Trip Created,trip_220,2025-01-17T18:43:00
audit_221,Trip Created,trip_221,2025-01-17T11:22:00
audit_222,Trip Created,trip_222,2025-01-17T08:54:00
audit_223,Trip Created,trip_223,2025-01-17T11:25:00
audit_224,Trip Created,trip_224,2025-01-17T17:35:00
audit_225,Trip Created,trip_225,2025-01-17T10:06:00
audit_226,Trip Created,trip_226,2025-01-17T17:44:00
audit_227,Trip Created,trip_227,2025-01-17T04:54:00
audit_228,Trip Created,trip_228,2025-01-17T09:01:00
audit_229,Trip Created,trip_229,2025-01-17T03:22:00
audit_230,Trip Created,trip_230,2025-01-17T16:05:00
audit_231,Trip Created,trip_231,2025-01-17T23:57:00
audit_232,Trip Created,trip_232,2025-01-18T18:40:00
audit_233,Trip Created,trip_233,2025-01-18T23:58:00
audit_234,Trip Created,trip_234,2025-01-18T22:59:00
audit_235,Trip Created,trip_235,2025-01-18T19:23:00
audit_236,Trip Created,trip_236,2025-01-18T02:53:00
audit_237,Trip Created,trip_237,2025-01-18T02:01:00
audit_238,Trip Created,trip_238,2025-01-18T11:13:00
audit_239,Trip Created,trip_239,2025-01-18T01:12:00
audit_240,Trip Created,trip_240,2025-01-18T19:33:00
audit_241,Trip Created,trip_241,2025-01-18T03:51:00
audit_242,Trip Created,trip_242,2025-01-18T18:11:00
audit_243,Trip Created,trip_243,2025-01-18T11:04:00
audit_244,Trip Created,trip_244,2025-01-19T10:02:00
audit_245,Trip Created,trip_245,2025-01-19T15:18:00
audit_246,Trip Created,trip_246,2025-01-19T03:03:00
audit_247,Trip Created,trip_247,2025-01-19T16:00:00
audit_248,Trip Created,trip_248,2025-01-19T02:03:00
audit_249,Trip Created,trip_249,2025-01-19T07:37:00
audit_250,Trip Created,trip_250,2025-01-19T04:17:00
audit_251,Trip Created,trip_251,2025-01-19T15:00:00
audit_252,Trip Created,trip_252,2025-01-19T10:50:00
audit_253,Trip Created,trip_253,2025-01-19T07:14:00
audit_254,Trip Created,trip_254,2025-01-19T00:41:00
audit_255,Trip Created,trip_255,2025-01-19T10:39:00
audit_256,Trip Created,trip_256,2025-01-19T17:03:00
audit_257,Trip Created,trip_257,2025-01-19T16:48:00
audit_258,Trip Created,trip_258,2025-01-20T19:16:00
audit_259,Trip Created,trip_259,2025-01-20T06:31:00
audit_260,Trip Created,trip_260,2025-01-20T11:13:00
audit_261,Trip Created,trip_261,2025-01-20T02:25:00
audit_262,Trip Created,trip_262,2025-01-20T09:23:00
audit_263,Trip Created,trip_263,2025-01-20T04:38:00
audit_264,Trip Created,trip_264,2025-01-20T23:53:00
audit_265,Trip Created,trip_265,2025-01-20T00:01:00
audit_266,Trip Created,trip_266,2025-01-20T19:56:00
audit_267,Trip Created,trip_267,2025-01-20T21:49:00
audit_268,Trip Created,trip_268,2025-01-20T09:11:00
audit_269,Trip Created,trip_269,2025-01-20T07:58:00
audit_270,Trip Created,trip_270,2025-01-20T21:17:00
audit_271,Trip Created,trip_271,2025-01-20T21:30:00
audit_272,Trip Created,trip_272,2025-01-20T14:38:00
audit_273,Trip Created,trip_273,2025-01-20T19:20:00
audit_274,Trip Created,trip_274,2025-01-21T08:38:00
audit_275,Trip Created,trip_275,2025-01-21T17:21:00
audit_276,Trip Created,trip_276,2025-01-21T08:06:00
audit_277,Trip Created,trip_277,2025-01-21T08:51:00
audit_278,Trip Created,trip_278,2025-01-21T21:31:00
audit_279,Trip Created,trip_279,2025-01-21T11:23:00
audit_280,Trip Created,trip_280,2025-01-21T08:55:00
audit_281,Trip Created,trip_281,2025-01-21T17:59:00
audit_282,Trip Created,trip_282,2025-01-21T14:33:00
audit_283,Trip Created,trip_283,2025-01-21T10:31:00
audit_284,Trip Created,trip_284,2025-01-21T23:08:00
audit_285,Trip Created,trip_285,2025-01-21T11:21:00
audit_286,Trip Created,trip_286,2025-01-21T12:21:00
audit_287,Trip Created,trip_287,2025-01-21T07:29:00
audit_288,Trip Created,trip_288,2025-01-22T08:06:00
audit_289,Trip Created,trip_289,2025-01-22T07:31:00
audit_290,Trip Created,trip_290,2025-01-22T15:11:00
audit_291,Trip Created,trip_291,2025-01-22T14:38:00
audit_292,Trip Created,trip_292,2025-01-22T04:46:00
audit_293,Trip Created,trip_293,2025-01-22T08:26:00
audit_294,Trip Created,trip_294,2025-01-22T19:59:00
audit_295,Trip Created,trip_295,2025-01-22T00:33:00
audit_296,Trip Created,trip_296,2025-01-22T05:34:00
audit_297,Trip Created,trip_297,2025-01-22T03:08:00
audit_298,Trip Created,trip_298,2025-01-22T16:07:00
audit_299,Trip Created,trip_299,2025-01-22T06:39:00
audit_300,Trip Created,trip_300,2025-01-22T01:50:00
audit_301,Trip Created,trip_301,2025-01-22T19:38:00
audit_302,Trip Created,trip_302,2025-01-22T10:17:00
audit_303,Trip Created,trip_303,2025-01-23T01:27:00
audit_304,Trip Created,trip_304,2025-01-23T22:02:00
audit_305,Trip Created,trip_305,2025-01-23T12:22:00
audit_306,Trip Created,trip_306,2025-01-23T06:44:00
audit_307,Trip Created,trip_307,2025-01-23T15:33:00
audit_308,Trip Created,trip_308,2025-01-23T07:27:00
audit_309,Trip Created,trip_309,2025-01-23T01:13:00
audit_310,Trip Created,trip_310,2025-01-23T22:46:00
audit_311,Trip Created,trip_311,2025-01-23T04:18:00
audit_312,Trip Created,trip_312,2025-01-23T03:27:00
audit_313,Trip Created,trip_313,2025-01-23T17:30:00
audit_314,Trip Created,trip_314,2025-01-23T13:31:00
audit_315,Trip Created,trip_315,2025-01-23T15:51:00
audit_316,Trip Created,trip_316,2025-01-24T16:39:00
audit_317,Trip Created,trip_317,2025-01-24T07:20:00
audit_318,Trip Created,trip_318,2025-01-24T16:47:00
audit_319,Trip Created,trip_319,2025-01-24T05:01:00
audit_320,Trip Created,trip_320,2025-01-24T12:19:00
audit_321,Trip Created,trip_321,2025-01-24T06:53:00
audit_322,Trip Created,trip_322,2025-01-24T13:54:00
audit_323,Trip Created,trip_323,2025-01-24T19:07:00
audit_324,Trip Created,trip_324,2025-01-24T19:32:00
audit_325,Trip Created,trip_325,2025-01-24T03:47:00
audit_326,Trip Created,trip_326,2025-01-24T03:31:00
audit_327,Trip Created,trip_327,2025-01-24T18:37:00
audit_328,Trip Created,trip_328,2025-01-25T04:21:00
audit_329,Trip Created,trip_329,2025-01-25T13:57:00
audit_330,Trip Created,trip_330,2025-01-25T17:51:00
audit_331,Trip Created,trip_331,2025-01-25T08:25:00
audit_332,Trip Created,trip_332,2025-01-25T02:24:00
audit_333,Trip Created,trip_333,2025-01-25T22:28:00
audit_334,Trip Created,trip_334,2025-01-25T06:12:00
audit_335,Trip Created,trip_335,2025-01-25T21:20:00
audit_336,Trip Created,trip_336,2025-01-25T15:34:00
audit_337,Trip Created,trip_337,2025-01-25T07:48:00
audit_338,Trip Created,trip_338,2025-01-25T11:48:00
audit_339,Trip Created,trip_339,2025-01-25T17:37:00
audit_340,Trip Created,trip_340,2025-01-25T14:40:00
audit_341,Trip Created,trip_341,2025-01-25T22:54:00
audit_342,Trip Created,trip_342,2025-01-26T00:43:00
audit_343,Trip Created,trip_343,2025-01-26T12:10:00
audit_344,Trip Created,trip_344,2025-01-26T09:40:00
audit_345,Trip Created,trip_345,2025-01-26T23:54:00
audit_346,Trip Created,trip_346,2025-01-26T17:54:00
audit_347,Trip Created,trip_347,2025-01-26T19:58:00
audit_348,Trip Created,trip_348,2025-01-26T09:18:00
audit_349,Trip Created,trip_349,2025-01-26T19:09:00
audit_350,Trip Created,trip_350,2025-01-26T01:20:00
audit_351,Trip Created,trip_351,2025-01-26T04:36:00
audit_352,Trip Created,trip_352,2025-01-26T05:51:00
audit_353,Trip Created,trip_353,2025-01-26T17:58:00
audit_354,Trip Created,trip_354,2025-01-26T08:19:00
audit_355,Trip Created,trip_355,2025-01-26T21:37:00
audit_356,Trip Created,trip_356,2025-01-27T14:08:00
audit_357,Trip Created,trip_357,2025-01-27T00:36:00
audit_358,Trip Created,trip_358,2025-01-27T03:09:00
audit_359,Trip Created,trip_359,2025-01-27T13:27:00
audit_360,Trip Created,trip_360,2025-01-27T11:28:00
audit_361,Trip Created,trip_361,2025-01-27T05:27:00
audit_362,Trip Created,trip_362,2025-01-27T08:31:00
audit_363,Trip Created,trip_363,2025-01-27T02:22:00
audit_364,Trip Created,trip_364,2025-01-27T02:52:00
audit_365,Trip Created,trip_365,2025-01-27T12:06:00
audit_366,Trip Created,trip_366,2025-01-27T03:05:00
audit_367,Trip Created,trip_367,2025-01-27T04:10:00
audit_368,Trip Created,trip_368,2025-01-28T02:19:00
audit_369,Trip Created,trip_369,2025-01-28T20:15:00
audit_370,Trip Created,trip_370,2025-01-28T00:09:00
audit_371,Trip Created,trip_371,2025-01-28T18:04:00
audit_372,Trip Created,trip_372,2025-01-28T10:35:00
audit_373,Trip Created,trip_373,2025-01-28T12:29:00
audit_374,Trip Created,trip_374,2025-01-28T01:07:00
audit_375,Trip Created,trip_375,2025-01-28T00:03:00
audit_376,Trip Created,trip_376,2025-01-28T07:12:00
audit_377,Trip Created,trip_377,2025-01-28T22:42:00
audit_378,Trip Created,trip_378,2025-01-28T08:28:00
audit_379,Trip Created,trip_379,2025-01-28T11:51:00
audit_380,Trip Created,trip_380,2025-01-28T00:12:00
audit_381,Trip Created,trip_381,2025-01-29T22:50:00
audit_382,Trip Created,trip_382,2025-01-29T21:41:00
audit_383,Trip Created,trip_383,2025-01-29T02:55:00
audit_384,Trip Created,trip_384,2025-01-29T05:33:00
audit_385,Trip Created,trip_385,2025-01-29T09:03:00
audit_386,Trip Created,trip_386,2025-01-29T05:00:00
audit_387,Trip Created,trip_387,2025-01-29T18:17:00
audit_388,Trip Created,trip_388,2025-01-29T21:42:00
audit_389,Trip Created,trip_389,2025-01-29T14:23:00
audit_390,Trip Created,trip_390,2025-01-29T18:04:00
audit_391,Trip Created,trip_391,2025-01-29T01:29:00
audit_392,Trip Created,trip_392,2025-01-29T15:04:00
audit_393,Trip Created,trip_393,2025-01-29T08:57:00
audit_394,Trip Created,trip_394,2025-01-30T06:57:00
audit_395,Trip Created,trip_395,2025-01-30T17:32:00
audit_396,Trip Created,trip_396,2025-01-30T02:06:00
audit_397,Trip Created,trip_397,2025-01-30T14:57:00
audit_398,Trip Created,trip_398,2025-01-30T01:59:00
audit_399,Trip Created,trip_399,2025-01-30T02:04:00
audit_400,Trip Created,trip_400,2025-01-30T18:27:00
audit_401,Trip Created,trip_401,2025-01-30T10:20:00
audit_402,Trip Created,trip_402,2025-01-30T18:02:00
audit_403,Trip Created,trip_403,2025-01-30T17:50:00
audit_404,Trip Created,trip_404,2025-01-30T13:44:00
audit_405,Trip Created,trip_405,2025-01-30T22:30:00
audit_406,Trip Created,trip_406,2025-01-30T03:32:00
audit_407,Trip Created,trip_407,2025-01-31T23:00:00
audit_408,Trip Created,trip_408,2025-01-31T14:22:00
audit_409,Trip Created,trip_409,2025-01-31T19:24:00
audit_410,Trip Created,trip_410,2025-01-31T20:02:00
audit_411,Trip Created,trip_411,2025-01-31T21:08:00
audit_412,Trip Created,trip_412,2025-01-31T01:23:00
audit_413,Trip Created,trip_413,2025-01-31T11:15:00
audit_414,Trip Created,trip_414,2025-01-31T03:54:00
audit_415,Trip Created,trip_415,2025-01-31T08:11:00
audit_416,Trip Created,trip_416,2025-01-31T20:43:00
audit_417,Trip Created,trip_417,2025-01-31T15:12:00
audit_418,Trip Created,trip_418,2025-01-31T02:01:00
audit_419,Trip Created,trip_419,2025-01-31T01:12:00
audit_420,Trip Created,trip_420,2025-02-01T11:54:00
audit_421,Trip Created,trip_421,2025-02-01T12:02:00
audit_422,Trip Created,trip_422,2025-02-01T05:58:00
audit_423,Trip Created,trip_423,2025-02-01T11:35:00
audit_424,Trip Created,trip_424,2025-02-01T21:20:00
audit_425,Trip Created,trip_425,2025-02-01T13:46:00
audit_426,Trip Created,trip_426,2025-02-01T20:31:00
audit_427,Trip Created,trip_427,2025-02-01T20:24:00
audit_428,Trip Created,trip_428,2025-02-01T08:18:00
audit_429,Trip Created,trip_429,2025-02-01T01:01:00
audit_430,Trip Created,trip_430,2025-02-01T06:27:00
audit_431,Trip Created,trip_431,2025-02-01T18:56:00
audit_432,Trip Created,trip_432,2025-02-01T16:22:00
audit_433,Trip Created,trip_433,2025-02-01T11:33:00
audit_434,Trip Created,trip_434,2025-02-01T21:47:00
audit_435,Trip Created,trip_435,2025-02-01T14:16:00
audit_436,Trip Created,trip_436,2025-02-02T10:25:00
audit_437,Trip Created,trip_437,2025-02-02T20:23:00
audit_438,Trip Created,trip_438,2025-02-02T08:42:00
audit_439,Trip Created,trip_439,2025-02-02T16:46:00
audit_440,Trip Created,trip_440,2025-02-02T20:59:00
audit_441,Trip Created,trip_441,2025-02-02T12:54:00
audit_442,Trip Created,trip_442,2025-02-02T19:49:00
audit_443,Trip Created,trip_443,2025-02-02T12:22:00
audit_444,Trip Created,trip_444,2025-02-02T19:46:00
audit_445,Trip Created,trip_445,2025-02-02T17:09:00
audit_446,Trip Created,trip_446,2025-02-02T16:20:00
audit_447,Trip Created,trip_447,2025-02-02T03:18:00
audit_448,Trip Created,trip_448,2025-02-03T00:22:00
audit_449,Trip Created,trip_449,2025-02-03T12:34:00
audit_450,Trip Created,trip_450,2025-02-03T02:12:00
audit_451,Trip Created,trip_451,2025-02-03T17:33:00
audit_452,Trip Created,trip_452,2025-02-03T14:13:00
audit_453,Trip Created,trip_453,2025-02-03T14:19:00
audit_454,Trip Created,trip_454,2025-02-03T05:42:00
audit_455,Trip Created,trip_455,2025-02-03T06:55:00
audit_456,Trip Created,trip_456,2025-02-03T11:24:00
audit_457,Trip Created,trip_457,2025-02-03T19:38:00
audit_458,Trip Created,trip_458,2025-02-03T08:31:00
audit_459,Trip Created,trip_459,2025-02-03T07:59:00
audit_460,Trip Created,trip_460,2025-02-04T10:58:00
audit_461,Trip Created,trip_461,2025-02-04T07:31:00
audit_462,Trip Created,trip_462,2025-02-04T17:27:00
audit_463,Trip Created,trip_463,2025-02-04T06:52:00
audit_464,Trip Created,trip_464,2025-02-04T05:41:00
audit_465,Trip Created,trip_465,2025-02-04T16:34:00
audit_466,Trip Created,trip_466,2025-02-04T17:05:00
audit_467,Trip Created,trip_467,2025-02-04T23:47:00
audit_468,Trip Created,trip_468,2025-02-04T22:29:00
audit_469,Trip Created,trip_469,2025-02-04T20:21:00
audit_470,Trip Created,trip_470,2025-02-04T08:04:00
audit_471,Trip Created,trip_471,2025-02-04T13:08:00
audit_472,Trip Created,trip_472,2025-02-05T10:34:00
audit_473,Trip Created,trip_473,2025-02-05T23:14:00
audit_474,Trip Created,trip_474,2025-02-05T19:02:00
audit_475,Trip Created,trip_475,2025-02-05T23:47:00
audit_476,Trip Created,trip_476,2025-02-05T22:24:00
audit_477,Trip Created,trip_477,2025-02-05T03:31:00
audit_478,Trip Created,trip_478,2025-02-05T05:35:00
audit_479,Trip Created,trip_479,2025-02-05T05:24:00
audit_480,Trip Created,trip_480,2025-02-05T02:10:00
audit_481,Trip Created,trip_481,2025-02-05T09:02:00
