id,trip_id,driver_id,type,amount,date
exp_41,trip_14,driver_39,FASTag Toll,981,2025-01-02T23:06:00
exp_42,trip_14,driver_39,Miscellaneous,1021,2025-01-03T06:06:00
exp_43,trip_14,driver_39,Miscellaneous,1006,2025-01-03T10:06:00
exp_44,trip_15,driver_63,Food Allowance,850,2025-01-02T16:19:00
exp_45,trip_15,driver_63,Fines,155,2025-01-02T15:19:00
exp_46,trip_15,driver_63,Miscellaneous,299,2025-01-02T18:19:00
exp_47,trip_16,driver_53,Parking,873,2025-01-02T14:42:00
exp_48,trip_16,driver_53,Parking,1272,2025-01-02T05:42:00
exp_49,trip_16,driver_53,Miscellaneous,304,2025-01-02T08:42:00
exp_50,trip_17,driver_44,Miscellaneous,529,2025-01-03T01:19:00
exp_51,trip_17,driver_44,FASTag Toll,1434,2025-01-03T00:19:00
exp_52,trip_17,driver_44,Fines,714,2025-01-03T02:19:00
exp_53,trip_17,driver_44,Fines,741,2025-01-02T23:19:00
exp_54,trip_18,driver_80,Parking,1047,2025-01-02T19:42:00
exp_55,trip_18,driver_80,Food Allowance,408,2025-01-03T00:42:00
exp_56,trip_18,driver_80,Miscellaneous,940,2025-01-03T01:42:00
exp_57,trip_19,driver_27,Food Allowance,658,2025-01-02T13:52:00
exp_58,trip_19,driver_27,FASTag Toll,629,2025-01-02T17:52:00
exp_59,trip_19,driver_27,Fines,460,2025-01-02T10:52:00
exp_60,trip_20,driver_3,FASTag Toll,587,2025-01-02T03:20:00
exp_61,trip_20,driver_3,Parking,774,2025-01-02T06:20:00
exp_62,trip_20,driver_3,Food Allowance,966,2025-01-02T04:20:00
exp_63,trip_20,driver_3,Food Allowance,318,2025-01-02T04:20:00
exp_64,trip_21,driver_57,Parking,1231,2025-01-02T21:55:00
exp_65,trip_21,driver_57,Parking,1408,2025-01-02T20:55:00
exp_66,trip_21,driver_57,FASTag Toll,1195,2025-01-02T16:55:00
exp_67,trip_22,driver_2,Food Allowance,634,2025-01-03T01:19:00
exp_68,trip_22,driver_2,FASTag Toll,820,2025-01-02T22:19:00
exp_69,trip_22,driver_2,Fines,1221,2025-01-02T19:19:00
exp_70,trip_23,driver_7,Miscellaneous,1079,2025-01-03T20:11:00
exp_71,trip_23,driver_7,Food Allowance,633,2025-01-03T02:11:00
exp_72,trip_23,driver_7,Fines,770,2025-01-03T22:11:00
exp_73,trip_23,driver_7,Parking,506,2025-01-02T23:11:00
exp_74,trip_24,driver_51,FASTag Toll,853,2025-01-03T00:14:00
exp_75,trip_24,driver_51,Fines,340,2025-01-02T19:14:00
exp_76,trip_24,driver_51,Fines,991,2025-01-03T09:14:00
exp_77,trip_25,driver_16,Parking,582,2025-01-03T08:13:00
exp_78,trip_25,driver_16,Miscellaneous,608,2025-01-03T04:13:00
exp_79,trip_25,driver_16,Fines,1425,2025-01-03T06:13:00
exp_80,trip_25,driver_16,FASTag Toll,121,2025-01-03T06:13:00
exp_81,trip_26,driver_55,Fines,467,2025-01-02T17:04:00
exp_82,trip_26,driver_55,Food Allowance,1131,2025-01-03T00:04:00
exp_83,trip_26,driver_55,Parking,1058,2025-01-02T13:04:00
exp_84,trip_27,driver_34,Food Allowance,404,2025-01-02T11:02:00
exp_85,trip_27,driver_34,Food Allowance,475,2025-01-02T11:02:00
exp_86,trip_27,driver_34,Miscellaneous,632,2025-01-02T12:02:00
exp_87,trip_28,driver_64,Fines,108,2025-01-03T17:22:00
exp_88,trip_28,driver_64,Fines,469,2025-01-03T16:22:00
exp_89,trip_28,driver_64,FASTag Toll,604,2025-01-03T16:22:00
exp_90,trip_29,driver_4,FASTag Toll,1443,2025-01-04T12:43:00
exp_91,trip_29,driver_4,Parking,1265,2025-01-04T02:43:00
exp_92,trip_29,driver_4,Food Allowance,199,2025-01-04T07:43:00
exp_93,trip_29,driver_4,Parking,213,2025-01-04T00:43:00
exp_94,trip_30,driver_12,Fines,509,2025-01-04T00:11:00
exp_95,trip_30,driver_12,Miscellaneous,894,2025-01-04T00:11:00
exp_96,trip_30,driver_12,Parking,1253,2025-01-04T04:11:00
exp_97,trip_30,driver_12,Miscellaneous,284,2025-01-03T22:11:00
exp_98,trip_31,driver_56,Food Allowance,361,2025-01-04T09:05:00
exp_99,trip_31,driver_56,Food Allowance,1171,2025-01-04T17:05:00
exp_100,trip_31,driver_56,Parking,1264,2025-01-03T17:05:00
exp_101,trip_31,driver_56,Fines,256,2025-01-03T16:05:00
exp_102,trip_32,driver_55,Fines,1031,2025-01-03T18:29:00
exp_103,trip_32,driver_55,Fines,642,2025-01-03T14:29:00
exp_104,trip_32,driver_55,Food Allowance,532,2025-01-03T09:29:00
exp_105,trip_32,driver_55,FASTag Toll,1337,2025-01-03T12:29:00
exp_106,trip_34,driver_78,Food Allowance,1430,2025-01-03T17:39:00
exp_107,trip_34,driver_78,Miscellaneous,1382,2025-01-04T03:39:00
exp_108,trip_34,driver_78,Food Allowance,276,2025-01-03T19:39:00
exp_109,trip_34,driver_78,Miscellaneous,403,2025-01-04T01:39:00
exp_110,trip_35,driver_22,Miscellaneous,1285,2025-01-04T04:44:00
exp_111,trip_35,driver_22,FASTag Toll,1098,2025-01-04T06:44:00
exp_112,trip_35,driver_22,Miscellaneous,1151,2025-01-04T07:44:00
exp_113,trip_35,driver_22,Food Allowance,224,2025-01-04T00:44:00
exp_114,trip_36,driver_71,Parking,899,2025-01-03T12:57:00
exp_115,trip_36,driver_71,Parking,1067,2025-01-03T10:57:00
exp_116,trip_36,driver_71,Fines,524,2025-01-03T11:57:00
exp_117,trip_37,driver_62,Parking,981,2025-01-03T07:12:00
exp_118,trip_37,driver_62,Fines,564,2025-01-03T07:12:00
exp_119,trip_37,driver_62,Fines,558,2025-01-03T13:12:00
exp_120,trip_38,driver_46,Fines,315,2025-01-03T18:17:00
exp_121,trip_38,driver_46,FASTag Toll,520,2025-01-03T19:17:00
exp_122,trip_38,driver_46,Food Allowance,698,2025-01-03T20:17:00
exp_123,trip_39,driver_64,Parking,1389,2025-01-03T10:41:00
exp_124,trip_39,driver_64,Food Allowance,410,2025-01-03T09:41:00
exp_125,trip_39,driver_64,Miscellaneous,567,2025-01-03T06:41:00
exp_126,trip_39,driver_64,Miscellaneous,946,2025-01-03T08:41:00
exp_127,trip_40,driver_47,Miscellaneous,1494,2025-01-03T16:09:00
exp_128,trip_40,driver_47,Parking,804,2025-01-03T15:09:00
exp_129,trip_40,driver_47,Parking,1180,2025-01-03T15:09:00
exp_130,trip_40,driver_47,Miscellaneous,1013,2025-01-03T15:09:00
exp_131,trip_41,driver_45,FASTag Toll,1205,2025-01-04T05:49:00
exp_132,trip_41,driver_45,Food Allowance,722,2025-01-04T16:49:00
exp_133,trip_41,driver_45,Fines,326,2025-01-03T16:49:00
exp_134,trip_42,driver_65,Fines,1477,2025-01-03T06:03:00
exp_135,trip_42,driver_65,Miscellaneous,1164,2025-01-03T15:03:00
exp_136,trip_42,driver_65,Food Allowance,315,2025-01-03T09:03:00
exp_137,trip_42,driver_65,Fines,1292,2025-01-03T07:03:00
exp_138,trip_43,driver_13,Miscellaneous,433,2025-01-05T00:27:00
exp_139,trip_43,driver_13,Fines,360,2025-01-05T02:27:00
exp_140,trip_43,driver_13,Miscellaneous,364,2025-01-05T04:27:00
exp_141,trip_43,driver_13,Fines,1183,2025-01-04T23:27:00
exp_142,trip_44,driver_61,Miscellaneous,157,2025-01-05T00:10:00
exp_143,trip_44,driver_61,Food Allowance,1307,2025-01-05T01:10:00
exp_144,trip_44,driver_61,FASTag Toll,724,2025-01-05T01:10:00
exp_145,trip_44,driver_61,Food Allowance,474,2025-01-05T01:10:00
exp_146,trip_45,driver_54,Fines,1460,2025-01-05T14:19:00
exp_147,trip_45,driver_54,Miscellaneous,893,2025-01-05T02:19:00
exp_148,trip_45,driver_54,Miscellaneous,794,2025-01-05T12:19:00
exp_149,trip_46,driver_22,FASTag Toll,1448,2025-01-04T19:40:00
exp_150,trip_46,driver_22,FASTag Toll,663,2025-01-04T19:40:00
exp_151,trip_46,driver_22,Food Allowance,1286,2025-01-04T20:40:00
exp_152,trip_47,driver_76,Fines,766,2025-01-04T16:55:00
exp_153,trip_47,driver_76,FASTag Toll,219,2025-01-04T17:55:00
exp_154,trip_47,driver_76,Miscellaneous,302,2025-01-04T17:55:00
exp_155,trip_48,driver_7,Fines,1434,2025-01-04T10:48:00
exp_156,trip_48,driver_7,Parking,1263,2025-01-04T14:48:00
exp_157,trip_48,driver_7,Miscellaneous,271,2025-01-04T16:48:00
exp_158,trip_49,driver_48,Fines,1145,2025-01-04T15:50:00
exp_159,trip_49,driver_48,FASTag Toll,430,2025-01-05T05:50:00
exp_160,trip_49,driver_48,Fines,1253,2025-01-04T08:50:00
exp_161,trip_50,driver_16,FASTag Toll,1346,2025-01-05T03:35:00
exp_162,trip_50,driver_16,FASTag Toll,119,2025-01-05T05:35:00
exp_163,trip_50,driver_16,Food Allowance,946,2025-01-05T04:35:00
exp_164,trip_51,driver_51,Food Allowance,140,2025-01-04T11:50:00
exp_165,trip_51,driver_51,Parking,492,2025-01-04T05:50:00
exp_166,trip_51,driver_51,Fines,1380,2025-01-04T12:50:00
exp_167,trip_52,driver_30,FASTag Toll,360,2025-01-04T20:02:00
exp_168,trip_52,driver_30,Fines,566,2025-01-05T04:02:00
exp_169,trip_52,driver_30,Parking,492,2025-01-05T09:02:00
exp_170,trip_53,driver_1,Food Allowance,967,2025-01-04T23:43:00
exp_171,trip_53,driver_1,Food Allowance,503,2025-01-05T02:43:00
exp_172,trip_53,driver_1,Parking,736,2025-01-04T23:43:00
exp_173,trip_54,driver_4,Fines,355,2025-01-04T16:51:00
exp_174,trip_54,driver_4,FASTag Toll,168,2025-01-05T02:51:00
exp_175,trip_54,driver_4,Parking,233,2025-01-05T15:51:00
exp_176,trip_54,driver_4,Food Allowance,226,2025-01-05T15:51:00
exp_177,trip_55,driver_79,Fines,494,2025-01-04T20:04:00
exp_178,trip_55,driver_79,FASTag Toll,125,2025-01-04T18:04:00
exp_179,trip_55,driver_79,Fines,496,2025-01-04T22:04:00
exp_180,trip_55,driver_79,Fines,624,2025-01-05T12:04:00
exp_181,trip_56,driver_24,FASTag Toll,586,2025-01-04T13:51:00
exp_182,trip_56,driver_24,Fines,211,2025-01-04T11:51:00
exp_183,trip_56,driver_24,Parking,500,2025-01-04T08:51:00
exp_184,trip_57,driver_44,Fines,536,2025-01-06T01:30:00
exp_185,trip_57,driver_44,Miscellaneous,778,2025-01-06T04:30:00
exp_186,trip_57,driver_44,Food Allowance,919,2025-01-06T00:30:00
exp_187,trip_57,driver_44,FASTag Toll,843,2025-01-05T22:30:00
exp_188,trip_58,driver_38,Parking,307,2025-01-05T07:40:00
exp_189,trip_58,driver_38,Food Allowance,876,2025-01-05T10:40:00
exp_190,trip_58,driver_38,Parking,530,2025-01-05T16:40:00
exp_191,trip_59,driver_48,Fines,1302,2025-01-05T12:33:00
exp_192,trip_59,driver_48,Fines,702,2025-01-05T10:33:00
exp_193,trip_59,driver_48,Parking,606,2025-01-05T07:33:00
exp_194,trip_60,driver_17,Fines,921,2025-01-06T15:56:00
exp_195,trip_60,driver_17,Fines,1430,2025-01-05T20:56:00
exp_196,trip_60,driver_17,Food Allowance,549,2025-01-06T01:56:00
exp_197,trip_60,driver_17,Miscellaneous,580,2025-01-06T07:56:00
exp_198,trip_61,driver_49,Food Allowance,1004,2025-01-05T13:59:00
exp_199,trip_61,driver_49,Parking,1421,2025-01-05T08:59:00
exp_200,trip_61,driver_49,Parking,268,2025-01-05T15:59:00
exp_201,trip_62,driver_70,Fines,634,2025-01-05T03:50:00
exp_202,trip_62,driver_70,Parking,677,2025-01-06T05:50:00
exp_203,trip_62,driver_70,Parking,927,2025-01-06T09:50:00
exp_204,trip_63,driver_61,Food Allowance,1282,2025-01-05T21:48:00
exp_205,trip_63,driver_61,Parking,119,2025-01-06T08:48:00
exp_206,trip_63,driver_61,Parking,795,2025-01-06T00:48:00
exp_207,trip_63,driver_61,Miscellaneous,971,2025-01-06T14:48:00
exp_208,trip_64,driver_39,FASTag Toll,1482,2025-01-06T03:01:00
exp_209,trip_64,driver_39,Food Allowance,165,2025-01-06T08:01:00
exp_210,trip_64,driver_39,Fines,1100,2025-01-05T19:01:00
exp_211,trip_65,driver_50,Miscellaneous,522,2025-01-05T09:14:00
exp_212,trip_65,driver_50,Food Allowance,734,2025-01-05T13:14:00
exp_213,trip_65,driver_50,Miscellaneous,425,2025-01-05T16:14:00
exp_214,trip_66,driver_76,Parking,709,2025-01-05T23:45:00
exp_215,trip_66,driver_76,Fines,458,2025-01-05T23:45:00
exp_216,trip_66,driver_76,Food Allowance,467,2025-01-05T23:45:00
exp_217,trip_66,driver_76,Miscellaneous,887,2025-01-05T19:45:00
exp_218,trip_67,driver_51,Miscellaneous,1023,2025-01-05T08:56:00
exp_219,trip_67,driver_51,Parking,524,2025-01-05T10:56:00
exp_220,trip_67,driver_51,FASTag Toll,1046,2025-01-05T08:56:00
exp_221,trip_67,driver_51,FASTag Toll,1408,2025-01-05T10:56:00
exp_222,trip_68,driver_49,Fines,305,2025-01-06T02:25:00
exp_223,trip_68,driver_49,Parking,354,2025-01-06T08:25:00
exp_224,trip_68,driver_49,Miscellaneous,444,2025-01-06T01:25:00
exp_225,trip_69,driver_35,Miscellaneous,513,2025-01-05T18:22:00
exp_226,trip_69,driver_35,Parking,588,2025-01-05T18:22:00
exp_227,trip_69,driver_35,FASTag Toll,132,2025-01-05T21:22:00
exp_228,trip_70,driver_13,FASTag Toll,923,2025-01-07T02:46:00
exp_229,trip_70,driver_13,FASTag Toll,897,2025-01-06T19:46:00
exp_230,trip_70,driver_13,Miscellaneous,550,2025-01-06T10:46:00
exp_231,trip_71,driver_80,Parking,459,2025-01-06T12:04:00
exp_232,trip_71,driver_80,Parking,1464,2025-01-06T09:04:00
exp_233,trip_71,driver_80,FASTag Toll,786,2025-01-06T02:04:00
exp_234,trip_72,driver_49,Food Allowance,410,2025-01-07T09:47:00
exp_235,trip_72,driver_49,Food Allowance,1414,2025-01-06T22:47:00
exp_236,trip_72,driver_49,Food Allowance,1324,2025-01-07T11:47:00
exp_237,trip_72,driver_49,Parking,374,2025-01-07T05:47:00
exp_238,trip_73,driver_67,FASTag Toll,232,2025-01-07T12:52:00
exp_239,trip_73,driver_67,FASTag Toll,494,2025-01-06T22:52:00
exp_240,trip_73,driver_67,Food Allowance,518,2025-01-07T01:52:00
exp_241,trip_73,driver_67,FASTag Toll,455,2025-01-07T15:52:00
exp_242,trip_74,driver_31,Miscellaneous,443,2025-01-06T18:27:00
exp_243,trip_74,driver_31,Miscellaneous,965,2025-01-06T19:27:00
exp_244,trip_74,driver_31,Fines,987,2025-01-06T07:27:00
exp_245,trip_74,driver_31,Miscellaneous,140,2025-01-06T15:27:00
exp_246,trip_75,driver_39,Miscellaneous,951,2025-01-07T06:09:00
exp_247,trip_75,driver_39,Parking,886,2025-01-07T09:09:00
exp_248,trip_75,driver_39,Parking,1412,2025-01-07T12:09:00
exp_249,trip_75,driver_39,FASTag Toll,937,2025-01-06T19:09:00
exp_250,trip_76,driver_50,Food Allowance,635,2025-01-07T01:12:00
exp_251,trip_76,driver_50,Miscellaneous,1494,2025-01-06T10:12:00
exp_252,trip_76,driver_50,Parking,606,2025-01-07T01:12:00
exp_253,trip_77,driver_2,Fines,805,2025-01-06T04:41:00
exp_254,trip_77,driver_2,Parking,529,2025-01-06T08:41:00
exp_255,trip_77,driver_2,Miscellaneous,730,2025-01-06T03:41:00
exp_256,trip_78,driver_1,Miscellaneous,1002,2025-01-06T07:49:00
exp_257,trip_78,driver_1,FASTag Toll,1403,2025-01-06T04:49:00
exp_258,trip_78,driver_1,FASTag Toll,700,2025-01-06T03:49:00
exp_259,trip_78,driver_1,Miscellaneous,355,2025-01-06T05:49:00
exp_260,trip_79,driver_63,Fines,979,2025-01-07T01:00:00
exp_261,trip_79,driver_63,Parking,1496,2025-01-07T01:00:00
exp_262,trip_79,driver_63,Parking,590,2025-01-07T03:00:00
exp_263,trip_79,driver_63,Miscellaneous,875,2025-01-06T07:00:00
exp_264,trip_80,driver_13,Food Allowance,106,2025-01-06T15:55:00
exp_265,trip_80,driver_13,FASTag Toll,1397,2025-01-06T15:55:00
exp_266,trip_80,driver_13,FASTag Toll,766,2025-01-06T15:55:00
exp_267,trip_80,driver_13,Food Allowance,1342,2025-01-06T15:55:00
exp_268,trip_81,driver_45,Food Allowance,1013,2025-01-06T19:42:00
exp_269,trip_81,driver_45,Miscellaneous,1457,2025-01-06T23:42:00
exp_270,trip_81,driver_45,Food Allowance,533,2025-01-06T21:42:00
exp_271,trip_81,driver_45,FASTag Toll,316,2025-01-07T05:42:00
exp_272,trip_82,driver_42,Parking,336,2025-01-07T18:14:00
exp_273,trip_82,driver_42,FASTag Toll,328,2025-01-07T11:14:00
exp_274,trip_82,driver_42,Parking,1312,2025-01-07T15:14:00
exp_275,trip_83,driver_74,FASTag Toll,909,2025-01-07T05:54:00
exp_276,trip_83,driver_74,Fines,1043,2025-01-07T15:54:00
exp_277,trip_83,driver_74,Food Allowance,707,2025-01-07T12:54:00
exp_278,trip_84,driver_19,Food Allowance,560,2025-01-08T08:09:00
exp_279,trip_84,driver_19,FASTag Toll,466,2025-01-08T01:09:00
exp_280,trip_84,driver_19,Miscellaneous,712,2025-01-08T07:09:00
exp_281,trip_85,driver_3,Food Allowance,1282,2025-01-07T17:21:00
exp_282,trip_85,driver_3,Miscellaneous,1088,2025-01-07T22:21:00
exp_283,trip_85,driver_3,Food Allowance,529,2025-01-07T19:21:00
exp_284,trip_85,driver_3,Food Allowance,1433,2025-01-07T13:21:00
exp_285,trip_86,driver_19,FASTag Toll,593,2025-01-07T20:43:00
exp_286,trip_86,driver_19,Miscellaneous,719,2025-01-08T01:43:00
exp_287,trip_86,driver_19,Fines,453,2025-01-08T00:43:00
exp_288,trip_87,driver_60,Miscellaneous,1420,2025-01-08T11:17:00
exp_289,trip_87,driver_60,Miscellaneous,711,2025-01-08T07:17:00
exp_290,trip_87,driver_60,Food Allowance,303,2025-01-07T23:17:00
exp_291,trip_87,driver_60,FASTag Toll,1200,2025-01-07T18:17:00
exp_292,trip_88,driver_51,Parking,351,2025-01-07T19:50:00
exp_293,trip_88,driver_51,Food Allowance,1277,2025-01-08T00:50:00
exp_294,trip_88,driver_51,Food Allowance,279,2025-01-08T11:50:00
exp_295,trip_88,driver_51,Parking,171,2025-01-07T20:50:00
exp_296,trip_89,driver_39,Food Allowance,390,2025-01-08T03:10:00
exp_297,trip_89,driver_39,Food Allowance,374,2025-01-08T00:10:00
exp_298,trip_89,driver_39,Fines,835,2025-01-08T02:10:00
exp_299,trip_90,driver_34,Miscellaneous,414,2025-01-08T07:57:00
exp_300,trip_90,driver_34,Miscellaneous,876,2025-01-07T21:57:00
exp_301,trip_90,driver_34,Fines,606,2025-01-07T23:57:00
exp_302,trip_91,driver_15,Food Allowance,1178,2025-01-08T13:26:00
exp_303,trip_91,driver_15,Fines,1102,2025-01-08T00:26:00
exp_304,trip_91,driver_15,Fines,814,2025-01-08T12:26:00
exp_305,trip_92,driver_7,Fines,956,2025-01-07T18:48:00
exp_306,trip_92,driver_7,Food Allowance,998,2025-01-07T16:48:00
exp_307,trip_92,driver_7,Miscellaneous,1128,2025-01-07T15:48:00
exp_308,trip_93,driver_67,FASTag Toll,968,2025-01-07T18:40:00
exp_309,trip_93,driver_67,Food Allowance,1082,2025-01-07T17:40:00
exp_310,trip_93,driver_67,Fines,1486,2025-01-07T18:40:00
exp_311,trip_93,driver_67,FASTag Toll,930,2025-01-07T10:40:00
exp_312,trip_94,driver_69,Parking,373,2025-01-08T16:47:00
exp_313,trip_94,driver_69,Parking,204,2025-01-08T14:47:00
exp_314,trip_94,driver_69,Miscellaneous,876,2025-01-08T10:47:00
exp_315,trip_95,driver_44,FASTag Toll,828,2025-01-08T08:53:00
exp_316,trip_95,driver_44,Fines,1042,2025-01-08T18:53:00
exp_317,trip_95,driver_44,Parking,824,2025-01-08T11:53:00
exp_318,trip_95,driver_44,FASTag Toll,816,2025-01-09T12:53:00
exp_319,trip_96,driver_46,Miscellaneous,431,2025-01-08T04:27:00
exp_320,trip_96,driver_46,Parking,988,2025-01-08T04:27:00
exp_321,trip_96,driver_46,Parking,506,2025-01-08T04:27:00
exp_322,trip_96,driver_46,Food Allowance,683,2025-01-08T04:27:00
exp_323,trip_97,driver_26,FASTag Toll,1489,2025-01-09T08:17:00
exp_324,trip_97,driver_26,Miscellaneous,1322,2025-01-09T21:17:00
exp_325,trip_97,driver_26,FASTag Toll,989,2025-01-09T13:17:00
exp_326,trip_98,driver_11,Food Allowance,346,2025-01-08T12:39:00
exp_327,trip_98,driver_11,Miscellaneous,178,2025-01-08T16:39:00
exp_328,trip_98,driver_11,Food Allowance,399,2025-01-08T21:39:00
exp_329,trip_99,driver_53,Parking,534,2025-01-08T19:44:00
exp_330,trip_99,driver_53,Miscellaneous,673,2025-01-09T05:44:00
exp_331,trip_99,driver_53,FASTag Toll,982,2025-01-08T15:44:00
exp_332,trip_101,driver_47,Parking,1071,2025-01-09T06:49:00
exp_333,trip_101,driver_47,Fines,414,2025-01-09T01:49:00
exp_334,trip_101,driver_47,Food Allowance,492,2025-01-09T13:49:00
exp_335,trip_101,driver_47,Fines,617,2025-01-09T11:49:00
exp_336,trip_102,driver_16,Miscellaneous,1143,2025-01-08T15:30:00
exp_337,trip_102,driver_16,Fines,899,2025-01-08T15:30:00
exp_338,trip_102,driver_16,Fines,656,2025-01-08T09:30:00
exp_339,trip_103,driver_74,Parking,205,2025-01-09T05:44:00
exp_340,trip_103,driver_74,Food Allowance,530,2025-01-09T03:44:00
exp_341,trip_103,driver_74,FASTag Toll,102,2025-01-09T05:44:00
exp_342,trip_104,driver_42,Miscellaneous,1439,2025-01-09T01:56:00
exp_343,trip_104,driver_42,Fines,1228,2025-01-09T00:56:00
exp_344,trip_104,driver_42,Miscellaneous,551,2025-01-09T01:56:00
exp_345,trip_105,driver_20,Food Allowance,247,2025-01-08T21:46:00
exp_346,trip_105,driver_20,Food Allowance,1031,2025-01-08T20:46:00
exp_347,trip_105,driver_20,FASTag Toll,1178,2025-01-08T12:46:00
exp_348,trip_106,driver_49,FASTag Toll,514,2025-01-09T03:07:00
exp_349,trip_106,driver_49,Miscellaneous,1252,2025-01-09T15:07:00
exp_350,trip_106,driver_49,Miscellaneous,434,2025-01-09T05:07:00
exp_351,trip_106,driver_49,Parking,1080,2025-01-09T03:07:00
exp_352,trip_107,driver_35,FASTag Toll,1107,2025-01-10T04:07:00
exp_353,trip_107,driver_35,FASTag Toll,559,2025-01-10T00:07:00
exp_354,trip_107,driver_35,Parking,831,2025-01-09T22:07:00
exp_355,trip_107,driver_35,Fines,783,2025-01-10T01:07:00
exp_356,trip_108,driver_6,Parking,402,2025-01-09T17:11:00
exp_357,trip_108,driver_6,Miscellaneous,1079,2025-01-10T07:11:00
exp_358,trip_108,driver_6,FASTag Toll,331,2025-01-09T23:11:00
exp_359,trip_109,driver_19,FASTag Toll,1289,2025-01-09T16:08:00
exp_360,trip_109,driver_19,Miscellaneous,1179,2025-01-09T15:08:00
exp_361,trip_109,driver_19,Food Allowance,278,2025-01-09T12:08:00
exp_362,trip_109,driver_19,Parking,105,2025-01-09T12:08:00
exp_363,trip_110,driver_47,Food Allowance,873,2025-01-09T16:08:00
exp_364,trip_110,driver_47,Miscellaneous,861,2025-01-09T17:08:00
exp_365,trip_110,driver_47,FASTag Toll,1457,2025-01-10T10:08:00
exp_366,trip_111,driver_47,Fines,428,2025-01-09T03:15:00
exp_367,trip_111,driver_47,Miscellaneous,967,2025-01-09T10:15:00
exp_368,trip_111,driver_47,Fines,628,2025-01-09T11:15:00
exp_369,trip_112,driver_55,Food Allowance,211,2025-01-09T14:05:00
exp_370,trip_112,driver_55,Miscellaneous,498,2025-01-09T13:05:00
exp_371,trip_112,driver_55,FASTag Toll,313,2025-01-09T10:05:00
exp_372,trip_112,driver_55,Parking,1335,2025-01-09T14:05:00
exp_373,trip_113,driver_9,Parking,915,2025-01-10T04:00:00
exp_374,trip_113,driver_9,Food Allowance,744,2025-01-10T02:00:00
exp_375,trip_113,driver_9,Parking,365,2025-01-09T21:00:00
exp_376,trip_113,driver_9,Parking,934,2025-01-10T04:00:00
exp_377,trip_114,driver_62,Miscellaneous,368,2025-01-09T12:18:00
exp_378,trip_114,driver_62,Parking,837,2025-01-09T21:18:00
exp_379,trip_114,driver_62,Miscellaneous,181,2025-01-10T06:18:00
exp_380,trip_114,driver_62,Miscellaneous,589,2025-01-09T08:18:00
exp_381,trip_116,driver_64,FASTag Toll,1264,2025-01-09T18:20:00
