id,vehicle_id,driver_id,client_id,origin,destination,distance_km,dispatch_time,eta,actual_arrival,status,revenue
trip_20,vehicle_63,driver_3,client_53,Indore,Ranchi,213,2025-01-02T02:20:00,2025-01-02T06:25:37.086342,2025-01-02T06:52:37.086342,completed,14910
trip_21,vehicle_36,driver_57,client_15,Vadodara,Kolkata,936,2025-01-02T08:55:00,2025-01-03T02:59:23.232214,2025-01-03T02:52:23.232214,completed,58032
trip_22,vehicle_50,driver_2,client_27,Noida,Bengaluru,904,2025-01-02T08:19:00,2025-01-03T05:56:27.135266,2025-01-03T05:41:27.135266,completed,44296
trip_23,vehicle_4,driver_7,client_52,Gurugram,Patna,1413,2025-01-02T20:11:00,2025-01-03T23:02:41.475872,2025-01-03T22:40:41.475872,completed,56520
trip_24,vehicle_24,driver_51,client_79,Patna,Jaipur,872,2025-01-02T18:14:00,2025-01-03T15:48:34.721401,2025-01-04T01:48:34.721401,delayed,52320
trip_25,vehicle_64,driver_16,client_37,Chandigarh,Chennai,559,2025-01-02T22:13:00,2025-01-03T10:58:33.791975,2025-01-03T11:18:33.791975,completed,26832
trip_26,vehicle_50,driver_55,client_31,Chennai,Indore,1323,2025-01-02T08:04:00,2025-01-03T15:38:15.485512,2025-01-03T22:38:15.485512,delayed,91287
trip_27,vehicle_19,driver_34,client_47,Hyderabad,Surat,339,2025-01-02T10:02:00,2025-01-02T15:43:26.708034,2025-01-02T16:06:26.708034,completed,16272
trip_28,vehicle_15,driver_64,client_15,Chandigarh,Delhi,183,2025-01-03T14:22:00,2025-01-03T17:25:41.077084,2025-01-03T17:24:41.077084,completed,10065
trip_29,vehicle_43,driver_4,client_14,Vadodara,Delhi,682,2025-01-03T21:43:00,2025-01-04T13:47:11.330763,2025-01-04T14:16:11.330763,completed,47740
trip_30,vehicle_49,driver_12,client_3,Gurugram,Noida,916,2025-01-03T08:11:00,2025-01-04T04:37:44.509760,2025-01-04T04:32:44.509760,completed,38472
trip_31,vehicle_24,driver_56,client_29,Patna,Ranchi,1391,2025-01-03T13:05:00,2025-01-04T23:10:08.942395,2025-01-04T23:09:08.942395,completed,84851
trip_32,vehicle_66,driver_55,client_33,Lucknow,Nashik,945,2025-01-03T03:29:00,2025-01-03T21:14:26.814414,2025-01-03T21:00:26.814414,completed,48195
trip_33,vehicle_14,driver_56,client_62,Bengaluru,Bhubaneswar,0,2025-01-03T00:00:00,2025-01-04T00:55:39.430853,,cancelled,0
trip_34,vehicle_52,driver_78,client_51,Jammu,Surat,1096,2025-01-03T09:39:00,2025-01-04T05:07:48.229449,2025-01-04T05:21:48.229449,completed,66856
trip_35,vehicle_15,driver_22,client_58,Lucknow,Jaipur,412,2025-01-03T23:44:00,2025-01-04T08:09:27.989496,2025-01-04T07:40:27.989496,completed,27604
trip_36,vehicle_41,driver_71,client_80,Patna,Indore,230,2025-01-03T08:57:00,2025-01-03T13:17:32.668328,2025-01-03T12:54:32.668328,completed,12650
trip_37,vehicle_12,driver_62,client_64,Surat,Jaipur,364,2025-01-03T05:12:00,2025-01-03T13:38:25.183759,2025-01-03T13:58:25.183759,completed,19292
trip_38,vehicle_44,driver_46,client_78,Ranchi,Nagpur,195,2025-01-03T17:17:00,2025-01-03T20:38:58.836276,2025-01-03T21:03:58.836276,completed,10920
trip_39,vehicle_65,driver_64,client_26,Bengaluru,Hyderabad,303,2025-01-03T04:41:00,2025-01-03T11:05:33.633882,2025-01-03T10:42:33.633882,completed,20301
trip_40,vehicle_67,driver_47,client_9,Nashik,Vadodara,160,2025-01-03T14:09:00,2025-01-03T17:02:16.541939,2025-01-03T17:05:16.541939,completed,11200
trip_41,vehicle_57,driver_45,client_43,Bhopal,Chandigarh,1428,2025-01-03T12:49:00,2025-01-04T21:18:40.155949,2025-01-04T20:50:40.155949,completed,81396
trip_42,vehicle_34,driver_65,client_74,Chandigarh,Mumbai,825,2025-01-03T03:03:00,2025-01-03T18:00:51.493118,2025-01-03T17:58:51.493118,completed,40425
trip_43,vehicle_59,driver_13,client_17,Chennai,Gurugram,400,2025-01-04T22:27:00,2025-01-05T05:31:15.749581,2025-01-05T07:31:15.749581,delayed,21200
trip_44,vehicle_59,driver_61,client_78,Hyderabad,Nagpur,166,2025-01-04T23:10:00,2025-01-05T01:59:09.216715,2025-01-05T02:29:09.216715,completed,7138
trip_45,vehicle_6,driver_54,client_61,Chandigarh,Kanpur,1085,2025-01-04T18:19:00,2025-01-05T15:27:37.679499,2025-01-05T15:47:37.679499,completed,56420
trip_46,vehicle_12,driver_22,client_16,Patna,Kolkata,150,2025-01-04T18:40:00,2025-01-04T21:20:56.104002,2025-01-04T21:25:56.104002,completed,9000
trip_47,vehicle_52,driver_76,client_4,Coimbatore,Vadodara,192,2025-01-04T15:55:00,2025-01-04T19:11:19.748225,2025-01-04T18:52:19.748225,completed,10176
trip_48,vehicle_16,driver_7,client_65,Bhopal,Nagpur,514,2025-01-04T07:48:00,2025-01-04T17:41:45.658622,2025-01-04T17:43:45.658622,completed,32896
trip_49,vehicle_19,driver_48,client_58,Pune,Mumbai,1206,2025-01-04T05:50:00,2025-01-05T08:41:27.922642,2025-01-05T09:09:27.922642,completed,68742
trip_50,vehicle_51,driver_16,client_65,Jammu,Vadodara,386,2025-01-04T23:35:00,2025-01-05T06:01:09.103502,2025-01-05T05:44:09.103502,completed,22774
trip_51,vehicle_63,driver_51,client_57,Ranchi,Nagpur,1202,2025-01-04T02:50:00,2025-01-04T23:43:30.648954,2025-01-04T23:47:30.648954,completed,48080
trip_52,vehicle_29,driver_30,client_27,Mumbai,Gurugram,1111,2025-01-04T11:02:00,2025-01-05T11:23:21.439229,2025-01-05T11:38:21.439229,completed,65549
trip_53,vehicle_59,driver_1,client_53,Ahmedabad,Nagpur,974,2025-01-04T20:43:00,2025-01-05T13:15:50.363052,2025-01-05T20:15:50.363052,delayed,51622
trip_54,vehicle_13,driver_4,client_33,Jaipur,Nagpur,1082,2025-01-04T13:51:00,2025-01-05T16:34:44.177797,2025-01-05T17:03:44.177797,completed,54100
trip_55,vehicle_39,driver_79,client_49,Bhopal,Nagpur,1382,2025-01-04T13:04:00,2025-01-05T21:56:34.141964,2025-01-05T23:56:34.141964,delayed,67718
trip_56,vehicle_57,driver_24,client_66,Patna,Ludhiana,597,2025-01-04T04:51:00,2025-01-04T19:27:11.564851,2025-01-04T19:34:11.564851,completed,31641
trip_57,vehicle_9,driver_44,client_43,Lucknow,Lucknow,487,2025-01-05T21:30:00,2025-01-06T06:32:09.538110,2025-01-06T06:40:09.538110,completed,30194
trip_58,vehicle_19,driver_38,client_26,Gurugram,Surat,1001,2025-01-05T06:40:00,2025-01-06T02:01:23.624637,2025-01-06T01:33:23.624637,completed,40040
trip_59,vehicle_48,driver_48,client_9,Nagpur,Delhi,1453,2025-01-05T05:33:00,2025-01-06T05:57:10.538385,2025-01-06T06:23:10.538385,completed,77009
trip_60,vehicle_36,driver_17,client_79,Nashik,Noida,1140,2025-01-05T18:56:00,2025-01-06T17:50:03.058247,2025-01-06T18:10:03.058247,completed,62700
trip_61,vehicle_55,driver_49,client_11,Surat,Bengaluru,1270,2025-01-05T05:59:00,2025-01-06T04:19:24.098854,2025-01-06T03:54:24.098854,completed,55880
trip_62,vehicle_66,driver_70,client_47,Pune,Kolkata,1418,2025-01-05T02:50:00,2025-01-06T09:58:43.177992,2025-01-06T09:35:43.177992,completed,59556
trip_63,vehicle_2,driver_61,client_27,Chennai,Jaipur,1439,2025-01-05T16:48:00,2025-01-06T17:10:39.098152,2025-01-06T16:54:39.098152,completed,67633
trip_64,vehicle_69,driver_39,client_43,Lucknow,Patna,767,2025-01-05T18:01:00,2025-01-06T08:57:10.530353,2025-01-06T12:57:10.530353,delayed,33748
trip_65,vehicle_9,driver_50,client_48,Coimbatore,Mumbai,681,2025-01-05T06:14:00,2025-01-05T21:05:42.555194,2025-01-05T21:04:42.555194,completed,27921
trip_66,vehicle_40,driver_76,client_58,Nashik,Bhopal,515,2025-01-05T16:45:00,2025-01-06T02:20:27.249503,2025-01-06T01:50:27.249503,completed,22660
trip_67,vehicle_13,driver_51,client_38,Ranchi,Nashik,189,2025-01-05T07:56:00,2025-01-05T11:13:31.430336,2025-01-05T11:23:31.430336,completed,10773
trip_68,vehicle_60,driver_49,client_15,Bhubaneswar,Delhi,803,2025-01-05T23:25:00,2025-01-06T13:28:33.263962,2025-01-06T12:58:33.263962,completed,38544
trip_69,vehicle_2,driver_35,client_69,Gurugram,Bengaluru,414,2025-01-05T14:22:00,2025-01-05T23:52:15.815025,2025-01-06T00:19:15.815025,completed,25254
trip_70,vehicle_29,driver_13,client_42,Vadodara,Kolkata,1460,2025-01-06T05:46:00,2025-01-07T15:27:11.005690,2025-01-07T15:03:11.005690,completed,96360
trip_71,vehicle_36,driver_80,client_64,Nagpur,Bhubaneswar,855,2025-01-06T01:04:00,2025-01-06T15:52:56.382173,2025-01-06T16:11:56.382173,completed,50445
trip_72,vehicle_58,driver_49,client_3,Kanpur,Ludhiana,1146,2025-01-06T20:47:00,2025-01-07T22:27:01.740658,2025-01-07T21:57:01.740658,completed,53862
trip_73,vehicle_6,driver_67,client_32,Gurugram,Kolkata,949,2025-01-06T20:52:00,2025-01-07T17:36:04.243475,2025-01-08T00:36:04.243475,delayed,47450
trip_74,vehicle_27,driver_31,client_32,Hyderabad,Noida,1139,2025-01-06T02:27:00,2025-01-06T23:20:56.998064,2025-01-06T23:36:56.998064,completed,52394
trip_75,vehicle_11,driver_39,client_40,Bengaluru,Surat,1318,2025-01-06T17:09:00,2025-01-07T18:57:51.351791,2025-01-07T18:51:51.351791,completed,71172
trip_76,vehicle_16,driver_50,client_45,Coimbatore,Bhubaneswar,1258,2025-01-06T05:12:00,2025-01-07T03:57:55.855106,2025-01-07T04:16:55.855106,completed,86802
trip_77,vehicle_21,driver_2,client_11,Coimbatore,Gurugram,339,2025-01-06T02:41:00,2025-01-06T08:56:03.240506,2025-01-06T09:11:03.240506,completed,19662
trip_78,vehicle_63,driver_1,client_56,Noida,Noida,298,2025-01-06T02:49:00,2025-01-06T08:20:33.805448,2025-01-06T08:31:33.805448,completed,14602
trip_79,vehicle_62,driver_63,client_75,Jammu,Pune,1477,2025-01-06T03:00:00,2025-01-07T14:49:52.099086,2025-01-07T14:19:52.099086,completed,90097
trip_80,vehicle_43,driver_13,client_18,Mumbai,Kanpur,106,2025-01-06T14:55:00,2025-01-06T16:52:51.097181,2025-01-06T17:18:51.097181,completed,7314
trip_81,vehicle_11,driver_45,client_38,Kanpur,Gurugram,976,2025-01-06T15:42:00,2025-01-07T08:46:48.922329,2025-01-07T09:02:48.922329,completed,50752
trip_82,vehicle_21,driver_42,client_16,Ranchi,Delhi,885,2025-01-07T08:14:00,2025-01-08T00:30:23.945864,2025-01-08T01:00:23.945864,completed,60180
trip_83,vehicle_15,driver_74,client_40,Pune,Lucknow,853,2025-01-07T04:54:00,2025-01-07T23:20:10.640203,2025-01-07T23:37:10.640203,completed,34120
trip_84,vehicle_59,driver_19,client_5,Kanpur,Vadodara,1331,2025-01-07T09:09:00,2025-01-08T09:22:33.241060,2025-01-08T09:44:33.241060,completed,82522
trip_85,vehicle_21,driver_3,client_51,Bhopal,Nashik,1222,2025-01-07T12:21:00,2025-01-08T13:34:21.105319,2025-01-08T13:26:21.105319,completed,78208
trip_86,vehicle_14,driver_19,client_61,Noida,Pune,871,2025-01-07T13:43:00,2025-01-08T05:02:31.975175,2025-01-08T04:38:31.975175,completed,44421
trip_87,vehicle_12,driver_60,client_15,Nashik,Nagpur,1431,2025-01-07T12:17:00,2025-01-08T15:27:52.342259,2025-01-08T14:57:52.342259,completed,61533
trip_88,vehicle_3,driver_51,client_75,Kolkata,Bhubaneswar,1238,2025-01-07T17:50:00,2025-01-08T15:50:40.557736,2025-01-08T15:53:40.557736,completed,81708
trip_89,vehicle_65,driver_39,client_39,Pune,Coimbatore,844,2025-01-07T17:10:00,2025-01-08T10:34:57.805155,2025-01-08T10:04:57.805155,completed,39668
trip_90,vehicle_33,driver_34,client_55,Bhubaneswar,Delhi,881,2025-01-07T20:57:00,2025-01-08T17:18:44.016901,2025-01-08T17:48:44.016901,completed,42288
trip_91,vehicle_69,driver_15,client_43,Ludhiana,Ahmedabad,1500,2025-01-07T17:26:00,2025-01-09T05:44:09.889324,2025-01-09T05:37:09.889324,completed,103500
trip_92,vehicle_13,driver_7,client_69,Kolkata,Kanpur,449,2025-01-07T10:48:00,2025-01-07T20:11:42.079104,2025-01-07T20:28:42.079104,completed,27389
trip_93,vehicle_55,driver_67,client_41,Nashik,Patna,568,2025-01-07T09:40:00,2025-01-07T19:36:14.250944,2025-01-07T19:32:14.250944,completed,36352
trip_94,vehicle_55,driver_69,client_68,Ranchi,Kanpur,806,2025-01-08T07:47:00,2025-01-08T22:55:37.289724,2025-01-08T23:21:37.289724,completed,56420
trip_95,vehicle_15,driver_44,client_39,Chennai,Surat,1490,2025-01-08T07:53:00,2025-01-09T13:13:27.162117,2025-01-09T12:50:27.162117,completed,73010
trip_96,vehicle_52,driver_46,client_20,Hyderabad,Nagpur,118,2025-01-08T03:27:00,2025-01-08T05:49:03.116742,2025-01-08T15:49:03.116742,delayed,8024
trip_97,vehicle_21,driver_26,client_17,Vadodara,Ludhiana,1081,2025-01-08T21:17:00,2025-01-09T22:47:35.334424,2025-01-09T22:48:35.334424,completed,70265
trip_98,vehicle_63,driver_11,client_15,Ahmedabad,Bhubaneswar,978,2025-01-08T07:39:00,2025-01-09T06:22:04.134557,2025-01-09T06:07:04.134557,completed,46944
trip_99,vehicle_49,driver_53,client_62,Pune,Coimbatore,1175,2025-01-08T09:44:00,2025-01-09T08:02:37.168126,2025-01-09T07:53:37.168126,completed,62275
trip_100,vehicle_63,driver_47,client_71,Ludhiana,Delhi,0,2025-01-08T09:07:00,2025-01-09T03:48:39.756796,,cancelled,0
trip_101,vehicle_43,driver_47,client_36,Gurugram,Lucknow,840,2025-01-08T23:49:00,2025-01-09T16:02:22.932970,2025-01-09T15:47:22.932970,completed,50400
trip_102,vehicle_58,driver_16,client_3,Noida,Kanpur,993,2025-01-08T02:30:00,2025-01-08T23:01:29.910102,2025-01-08T23:03:29.910102,completed,64545
trip_103,vehicle_21,driver_74,client_65,Bhubaneswar,Chandigarh,546,2025-01-08T18:44:00,2025-01-09T08:19:23.237651,2025-01-09T08:21:23.237651,completed,29484
trip_104,vehicle_48,driver_42,client_79,Surat,Vadodara,270,2025-01-08T22:56:00,2025-01-09T04:13:44.243214,2025-01-09T04:09:44.243214,completed,18360
trip_105,vehicle_51,driver_20,client_12,Chennai,Noida,1013,2025-01-08T07:46:00,2025-01-09T02:20:42.194939,2025-01-09T02:47:42.194939,completed,55715
trip_106,vehicle_13,driver_49,client_6,Delhi,Jaipur,886,2025-01-09T00:07:00,2025-01-09T15:47:21.895572,2025-01-09T15:58:21.895572,completed,61134
trip_107,vehicle_70,driver_35,client_14,Coimbatore,Hyderabad,1385,2025-01-09T17:07:00,2025-01-11T03:22:42.086375,2025-01-11T13:22:42.086375,delayed,67865
trip_108,vehicle_11,driver_6,client_55,Delhi,Ranchi,1338,2025-01-09T04:11:00,2025-01-10T07:43:47.085261,2025-01-10T07:24:47.085261,completed,81618
trip_109,vehicle_36,driver_19,client_55,Chennai,Bhubaneswar,285,2025-01-09T10:08:00,2025-01-09T16:39:51.916415,2025-01-09T16:29:51.916415,completed,15675
trip_110,vehicle_3,driver_47,client_18,Surat,Bengaluru,1243,2025-01-09T15:08:00,2025-01-10T12:24:39.570640,2025-01-10T19:24:39.570640,delayed,63393
trip_111,vehicle_19,driver_47,client_20,Ludhiana,Noida,389,2025-01-09T02:15:00,2025-01-09T11:36:51.024933,2025-01-09T11:58:51.024933,completed,20617
trip_112,vehicle_30,driver_55,client_28,Bhopal,Kanpur,421,2025-01-09T08:05:00,2025-01-09T16:25:53.527107,2025-01-09T16:03:53.527107,completed,26523
trip_113,vehicle_14,driver_9,client_5,Jaipur,Ahmedabad,533,2025-01-09T19:00:00,2025-01-10T04:40:04.735633,2025-01-10T04:45:04.735633,completed,24518
trip_114,vehicle_49,driver_62,client_12,Bhubaneswar,Jaipur,1300,2025-01-09T01:18:00,2025-01-10T07:22:32.029164,2025-01-10T06:57:32.029164,completed,88400
trip_115,vehicle_10,driver_20,client_40,Kolkata,Jammu,0,2025-01-09T20:31:00,2025-01-11T02:34:39.388774,,cancelled,0
trip_116,vehicle_12,driver_64,client_74,Indore,Indore,292,2025-01-09T14:20:00,2025-01-09T21:03:44.350234,2025-01-09T20:37:44.350234,completed,14016
trip_117,vehicle_17,driver_57,client_53,Coimbatore,Bengaluru,851,2025-01-09T16:54:00,2025-01-10T09:06:42.469552,2025-01-10T08:41:42.469552,completed,51911
trip_118,vehicle_26,driver_52,client_61,Nagpur,Ahmedabad,773,2025-01-10T02:20:00,2025-01-10T18:50:00.017728,2025-01-10T18:33:00.017728,completed,47926
trip_119,vehicle_58,driver_54,client_55,Vadodara,Ludhiana,1174,2025-01-10T06:42:00,2025-01-11T02:59:23.428755,2025-01-11T02:32:23.428755,completed,49308
trip_120,vehicle_19,driver_64,client_1,Bengaluru,Delhi,748,2025-01-10T03:50:00,2025-01-10T16:25:33.697763,2025-01-10T16:28:33.697763,completed,47124
trip_121,vehicle_16,driver_64,client_67,Ludhiana,Vadodara,1428,2025-01-10T14:26:00,2025-01-11T20:03:18.485924,2025-01-11T20:07:18.485924,completed,75684
trip_122,vehicle_13,driver_57,client_29,Ludhiana,Bengaluru,1130,2025-01-10T18:51:00,2025-01-11T22:38:47.127760,2025-01-11T22:34:47.127760,completed,51980
trip_123,vehicle_67,driver_77,client_51,Gurugram,Kanpur,750,2025-01-10T10:10:00,2025-01-10T22:50:21.045482,2025-01-10T22:35:21.045482,completed,42750
trip_124,vehicle_21,driver_42,client_76,Delhi,Mumbai,0,2025-01-10T02:05:00,2025-01-10T14:50:41.030700,,cancelled,0
trip_125,vehicle_70,driver_11,client_46,Noida,Jaipur,1271,2025-01-10T12:01:00,2025-01-11T11:11:25.115547,2025-01-11T11:10:25.115547,completed,76260
trip_126,vehicle_10,driver_64,client_63,Patna,Nashik,840,2025-01-10T06:25:00,2025-01-11T02:24:36.976975,2025-01-11T02:20:36.976975,completed,35280
trip_127,vehicle_16,driver_25,client_47,Nagpur,Gurugram,1341,2025-01-10T00:34:00,2025-01-11T09:42:35.593236,2025-01-11T09:21:35.593236,completed,61686
trip_128,vehicle_40,driver_22,client_35,Vadodara,Kanpur,521,2025-01-10T23:31:00,2025-01-11T10:13:17.535121,2025-01-11T10:21:17.535121,completed,32823
trip_129,vehicle_4,driver_15,client_48,Indore,Delhi,468,2025-01-10T10:27:00,2025-01-10T18:50:03.850907,2025-01-10T18:24:03.850907,completed,21528
trip_130,vehicle_56,driver_41,client_54,Nagpur,Nagpur,755,2025-01-10T06:12:00,2025-01-11T00:37:03.687967,2025-01-11T00:09:03.687967,completed,36240
trip_131,vehicle_45,driver_52,client_59,Chennai,Patna,263,2025-01-10T17:49:00,2025-01-10T23:30:05.380671,2025-01-10T23:25:05.380671,completed,12887
trip_132,vehicle_43,driver_79,client_17,Vadodara,Delhi,877,2025-01-10T08:44:00,2025-01-11T04:56:15.193398,2025-01-11T04:55:15.193398,completed,37711
trip_133,vehicle_50,driver_25,client_41,Ludhiana,Surat,1098,2025-01-11T03:21:00,2025-01-12T04:12:24.062523,2025-01-12T04:15:24.062523,completed,61488
trip_134,vehicle_4,driver_61,client_46,Hyderabad,Gurugram,1455,2025-01-11T16:28:00,2025-01-12T23:23:54.084961,2025-01-12T23:28:54.084961,completed,61110
trip_135,vehicle_7,driver_32,client_9,Kolkata,Nagpur,327,2025-01-11T07:07:00,2025-01-11T15:04:48.314826,2025-01-11T21:04:48.314826,delayed,15369
trip_136,vehicle_62,driver_40,client_59,Delhi,Mumbai,588,2025-01-11T05:20:00,2025-01-11T16:17:51.292262,2025-01-11T16:08:51.292262,completed,39984
trip_137,vehicle_19,driver_13,client_70,Ahmedabad,Ranchi,304,2025-01-11T09:51:00,2025-01-11T15:24:18.637065,2025-01-11T15:41:18.637065,completed,15504
trip_138,vehicle_12,driver_25,client_58,Coimbatore,Noida,873,2025-01-11T20:06:00,2025-01-12T10:49:10.216602,2025-01-12T11:02:10.216602,completed,49761
trip_139,vehicle_38,driver_80,client_2,Bengaluru,Pune,1243,2025-01-11T21:10:00,2025-01-13T00:08:44.314628,2025-01-13T00:29:44.314628,completed,60907
trip_140,vehicle_19,driver_26,client_46,Jaipur,Jammu,984,2025-01-11T18:58:00,2025-01-12T18:36:44.464368,2025-01-12T18:36:44.464368,completed,67896
trip_141,vehicle_60,driver_70,client_57,Bhubaneswar,Vadodara,475,2025-01-11T12:50:00,2025-01-11T21:05:29.601667,2025-01-11T20:43:29.601667,completed,26600
trip_142,vehicle_11,driver_8,client_62,Bhubaneswar,Vadodara,653,2025-01-11T20:06:00,2025-01-12T10:05:31.044959,2025-01-12T16:05:31.044959,delayed,37874
trip_143,vehicle_9,driver_1,client_61,Mumbai,Coimbatore,413,2025-01-11T19:56:00,2025-01-12T05:40:08.936212,2025-01-12T10:40:08.936212,delayed,17759
trip_144,vehicle_13,driver_76,client_60,Hyderabad,Hyderabad,1109,2025-01-11T11:42:00,2025-01-12T12:04:18.061024,2025-01-12T12:25:18.061024,completed,47687
trip_145,vehicle_68,driver_50,client_44,Bengaluru,Bhubaneswar,1150,2025-01-11T02:11:00,2025-01-11T23:49:59.116633,2025-01-12T00:05:59.116633,completed,66700
trip_146,vehicle_52,driver_9,client_64,Ranchi,Chennai,192,2025-01-11T00:54:00,2025-01-11T04:24:46.011386,2025-01-11T04:36:46.011386,completed,8256
trip_147,vehicle_49,driver_18,client_37,Jaipur,Gurugram,1405,2025-01-11T18:35:00,2025-01-13T02:31:08.423790,2025-01-13T02:29:08.423790,completed,85705
trip_148,vehicle_24,driver_68,client_46,Kanpur,Kolkata,1116,2025-01-12T06:53:00,2025-01-13T08:09:39.907148,2025-01-13T08:11:39.907148,completed,56916
trip_149,vehicle_46,driver_9,client_79,Coimbatore,Surat,423,2025-01-12T09:04:00,2025-01-12T17:24:42.331396,2025-01-12T17:27:42.331396,completed,29187
trip_150,vehicle_10,driver_54,client_17,Ahmedabad,Chandigarh,1325,2025-01-12T23:39:00,2025-01-13T22:15:57.001662,2025-01-13T22:15:57.001662,completed,92750
trip_151,vehicle_56,driver_55,client_46,Gurugram,Vadodara,1225,2025-01-12T04:07:00,2025-01-13T05:14:24.735050,2025-01-13T05:41:24.735050,completed,62475
trip_152,vehicle_32,driver_38,client_33,Kolkata,Gurugram,365,2025-01-12T19:25:00,2025-01-13T02:46:45.815068,2025-01-13T02:20:45.815068,completed,15330
trip_153,vehicle_67,driver_30,client_19,Pune,Jaipur,724,2025-01-12T23:35:00,2025-01-13T15:57:27.797238,2025-01-13T16:19:27.797238,completed,47060
trip_154,vehicle_40,driver_5,client_34,Jammu,Ludhiana,1209,2025-01-12T11:59:00,2025-01-13T17:49:14.041623,2025-01-13T18:16:14.041623,completed,60450
trip_155,vehicle_67,driver_34,client_2,Ahmedabad,Jammu,432,2025-01-12T12:29:00,2025-01-12T20:21:01.328944,2025-01-12T19:59:01.328944,completed,29808
trip_156,vehicle_46,driver_62,client_79,Kolkata,Vadodara,1406,2025-01-12T17:13:00,2025-01-13T22:24:13.011682,2025-01-13T21:59:13.011682,completed,67488
trip_157,vehicle_57,driver_75,client_3,Ranchi,Indore,749,2025-01-12T01:35:00,2025-01-12T15:21:54.373610,2025-01-12T21:21:54.373610,delayed,35952
trip_158,vehicle_43,driver_53,client_48,Pune,Surat,1435,2025-01-12T11:30:00,2025-01-13T11:53:03.107938,2025-01-13T11:24:03.107938,completed,64575
trip_159,vehicle_54,driver_69,client_57,Vadodara,Ahmedabad,348,2025-01-12T16:51:00,2025-01-13T01:19:54.775292,2025-01-13T01:22:54.775292,completed,19488
trip_160,vehicle_58,driver_54,client_53,Ranchi,Lucknow,570,2025-01-12T18:52:00,2025-01-13T04:56:55.664255,2025-01-13T05:00:55.664255,completed,26790
trip_161,vehicle_56,driver_4,client_55,Indore,Delhi,441,2025-01-12T02:08:00,2025-01-12T10:54:03.915775,2025-01-12T10:48:03.915775,completed,29988
trip_162,vehicle_49,driver_42,client_30,Surat,Chennai,998,2025-01-13T05:32:00,2025-01-13T23:51:42.666784,2025-01-14T00:10:42.666784,completed,42914
