product_id,abc_class,service_level,lead_time,total_revenue,total_quantity,avg_daily_demand,annual_demand,demand_std_dev,unit_cost,z_score,safety_stock,reorder_point,eoq,holding_cost_per_unit,simulated_current_stock,days_to_stockout,reorder_urgency,stockout_probability,risk_category
22114,A,0.99,7,29903.81,6542,9.3591,3416.07,24.3087,4.5711,2.33,149.85,215.37,611.28,0.9142,212.52,22.71,0.0132,0.0111,High
22411,A,0.99,7,29403.2,15008,21.4707,7836.8,49.0972,1.9592,2.33,302.66,452.96,1414.22,0.3918,82.99,3.87,0.8168,0.6978,Critical
22197,A,0.99,7,29299.850000000002,32624,46.6724,17035.42,178.9221,0.8981,2.33,1102.98,1429.69,3079.62,0.1796,562.08,12.04,0.6068,0.3095,Critical
21623,A,0.99,7,28643.29,3875,5.5436,2023.43,47.8601,7.3918,2.33,295.04,333.84,369.96,1.4784,466.64,84.18,0.0,0.0004,Medium
21137,A,0.99,7,28635.22,8286,11.8541,4326.74,50.7911,3.4559,2.33,313.11,396.09,791.2,0.6912,600.09,50.62,0.0,0.0001,Low
22910,A,0.99,7,28570.9,8888,12.7153,4641.09,49.8789,3.2145,2.33,307.48,396.49,849.64,0.6429,768.51,60.44,0.0,0.0,Low
22139,A,0.99,7,28338.65,5699,8.1531,2975.87,18.3044,4.9726,2.33,112.84,169.91,547.02,0.9945,122.18,14.99,0.2809,0.0894,High
22112,A,0.99,7,27679.14,5487,7.8498,2865.17,20.4002,5.0445,2.33,125.76,180.71,532.91,1.0089,145.27,18.51,0.1961,0.0471,High
21733,A,0.99,7,27293.38,9722,13.9084,5076.58,29.5569,2.8074,2.33,182.21,279.57,950.87,0.5615,277.37,19.94,0.0078,0.0107,High
48194,A,0.99,7,27279.73,4397,6.2904,2296.0,25.4106,6.2042,2.33,156.65,200.68,430.16,1.2408,92.31,14.67,0.54,0.2363,Critical
22111,A,0.99,7,27089.27,5420,7.7539,2830.19,22.5545,4.998,2.33,139.04,193.32,532.1,0.9996,67.05,8.65,0.6531,0.4152,Critical
21929,A,0.99,7,27024.86,14881,21.289,7770.48,58.0325,1.8161,2.33,357.75,506.77,1462.66,0.3632,508.72,23.9,0.0,0.0096,Medium
22090,A,0.99,7,26844.79,8811,12.6052,4600.88,31.6732,3.0467,2.33,195.25,283.49,868.94,0.6093,150.57,11.95,0.4689,0.2285,Critical
82484,A,0.99,7,26657.75,5009,7.166,2615.57,50.7306,5.322,2.33,312.73,362.9,495.72,1.0644,498.13,69.51,0.0,0.0004,Medium
22083,A,0.99,7,25969.420000000002,8872,12.6924,4632.73,36.6503,2.9271,2.33,225.93,314.78,889.58,0.5854,292.93,23.08,0.0694,0.0177,High
21928,A,0.99,7,25826.72,14248,20.3834,7439.94,51.3883,1.8127,2.33,316.79,459.47,1432.56,0.3625,772.87,37.92,0.0,0.0,Low
21523,A,0.99,7,25593.35,3800,5.4363,1984.26,21.1443,6.7351,2.33,130.35,168.4,383.81,1.347,240.9,44.31,0.0,0.0001,Medium
21181,A,0.99,7,25537.24,12727,18.2074,6645.72,50.5384,2.0065,2.33,311.55,439.0,1286.86,0.4013,304.45,16.72,0.3065,0.0928,Critical
84029E,A,0.99,7,25382.850000000002,7004,10.02,3657.31,37.6124,3.6241,2.33,231.87,302.01,710.34,0.7248,507.76,50.67,0.0,0.0,Low
84946,A,0.99,7,25171.27,18592,26.598,9708.27,59.96,1.3539,2.33,369.63,555.82,1893.5,0.2708,905.45,34.04,0.0,0.0,Low
37503,A,0.99,7,24923.63,2415,3.4549,1261.05,12.2286,10.3203,2.33,75.38,99.57,247.17,2.0641,83.26,24.1,0.1638,0.0339,High
22470,A,0.99,7,24834.710000000003,8293,11.8641,4330.39,33.3104,2.9947,2.33,205.35,288.39,850.31,0.5989,186.83,15.75,0.3522,0.1195,Critical
82494L,A,0.99,7,24652.710000000003,8708,12.4578,4547.1,23.3017,2.831,2.33,143.65,230.85,896.15,0.5662,322.44,25.88,0.0,0.0001,Medium
21731,A,0.99,7,24411.96,14891,21.3033,7775.7,65.872,1.6394,2.33,406.07,555.2,1539.98,0.3279,202.94,9.53,0.6345,0.3787,Critical
84078A,A,0.99,7,23618.81,602,0.8612,314.35,4.3634,39.2339,2.33,26.9,32.93,63.29,7.8468,15.8,18.35,0.5202,0.1987,Critical
21524,A,0.99,7,22985.670000000002,3576,5.1159,1867.3,18.2801,6.4278,2.33,112.69,148.5,381.12,1.2856,16.93,3.31,0.886,0.6519,Critical
48187,A,0.99,7,22857.9,3580,5.1216,1869.38,19.6446,6.3849,2.33,121.1,156.95,382.61,1.277,250.36,48.88,0.0,0.0,Low
21755,A,0.99,7,22652.78,3670,5.2504,1916.38,8.6797,6.1724,2.33,53.51,90.26,394.0,1.2345,123.04,23.44,0.0,0.0001,Medium
20727,A,0.99,7,22360.18,13764,19.691,7187.21,72.1068,1.6245,2.33,444.51,582.35,1487.3,0.3249,838.47,42.58,0.0,0.0001,Medium
71477,A,0.99,7,22138.22,7622,10.9041,3980.01,38.7238,2.9045,2.33,238.72,315.05,827.73,0.5809,498.84,45.75,0.0,0.0,Low
48185,A,0.99,7,22054.3,3222,4.6094,1682.45,18.844,6.8449,2.33,116.17,148.43,350.57,1.369,144.27,31.3,0.0281,0.0123,High
22383,A,0.99,7,21288.52,12845,18.3763,6707.33,48.1766,1.6573,2.33,296.99,425.62,1422.51,0.3315,502.49,27.34,0.0,0.0017,Medium
22328,A,0.99,7,21186.140000000003,7724,11.0501,4033.28,62.0218,2.7429,2.33,382.34,459.69,857.45,0.5486,168.07,15.21,0.6344,0.2902,Critical
21485,A,0.99,7,20827.32,4329,6.1931,2260.49,16.5071,4.8111,2.33,101.76,145.11,484.69,0.9622,46.09,7.44,0.6824,0.475,Critical
22188,A,0.99,7,20698.03,7609,10.8856,3973.23,93.4273,2.7202,2.33,575.94,652.14,854.59,0.544,893.41,82.07,0.0,0.0005,Medium
21527,A,0.99,7,20604.45,2788,3.9886,1455.82,14.184,7.3904,2.33,87.44,115.36,313.84,1.4781,114.79,28.78,0.0049,0.0103,High
20679,A,0.99,7,20574.5,4537,6.4907,2369.11,43.4818,4.5348,2.33,268.05,313.48,511.09,0.907,368.01,56.7,0.0,0.0025,Medium
22326,A,0.99,7,20528.41,7103,10.1617,3709.01,33.5853,2.8901,2.33,207.04,278.17,801.05,0.578,432.14,42.53,0.0,0.0,Low
84997D,A,0.99,7,20425.28,5617,8.0358,2933.05,24.8466,3.6363,2.33,153.17,209.42,635.06,0.7273,273.5,34.03,0.0,0.0005,Medium
82486,A,0.99,7,20383.68,2681,3.8355,1399.95,8.4472,7.603,2.33,52.07,78.92,303.42,1.5206,90.9,23.7,0.0,0.0021,Medium
22457,A,0.99,7,20259.440000000002,6508,9.3104,3398.31,25.0821,3.113,2.33,154.62,219.79,738.8,0.6226,255.51,27.44,0.0,0.0021,Medium
85014B,A,0.99,7,20042.83,4270,6.1087,2229.69,40.8955,4.6939,2.33,252.1,294.87,487.35,0.9388,199.77,32.7,0.3225,0.0734,Critical
22379,A,0.99,7,19748.87,9154,13.0959,4779.99,44.558,2.1574,2.33,274.68,366.35,1052.53,0.4315,58.09,4.44,0.8414,0.6121,Critical
20728,A,0.99,7,19645.66,12126,17.3476,6331.89,69.8013,1.6201,2.33,430.3,551.73,1397.9,0.324,512.98,29.57,0.0702,0.017,High
72741,A,0.99,7,19571.83,14118,20.1974,7372.06,56.0477,1.3863,2.33,345.51,486.89,1630.61,0.2773,247.2,12.24,0.4923,0.2377,Critical
22178,A,0.99,7,19331.73,15737,22.5136,8217.46,68.3051,1.2284,2.33,421.07,578.67,1828.86,0.2457,507.03,22.52,0.1238,0.0266,High
20726,A,0.99,7,19236.9,11459,16.3934,5983.6,66.7225,1.6788,2.33,411.32,526.07,1334.97,0.3358,905.61,55.24,0.0,0.0,Low
82482,A,0.99,7,18852.370000000003,7928,11.3419,4139.8,26.9914,2.3779,2.33,166.39,245.78,932.98,0.4756,133.83,11.8,0.4555,0.223,Critical
22469,A,0.99,7,18775.41,10903,15.598,5693.27,44.1023,1.722,2.33,271.87,381.06,1285.71,0.3444,80.32,5.15,0.7892,0.5977,Critical
48111,A,0.99,7,18689.01,3115,4.4564,1626.57,22.3182,5.9997,2.33,137.58,168.78,368.18,1.1999,107.11,24.04,0.3654,0.0993,Critical
84997B,A,0.99,7,18648.260000000002,5089,7.2804,2657.35,19.3236,3.6644,2.33,119.12,170.08,602.15,0.7329,111.89,15.37,0.3422,0.1167,Critical
21217,A,0.99,7,18446.24,1820,2.6037,950.36,6.5003,10.1353,2.33,40.07,58.3,216.53,2.0271,79.15,30.4,0.0,0.0002,Medium
20713,A,0.99,7,18314.28,9732,13.9227,5081.8,40.4377,1.8819,2.33,249.28,346.74,1161.98,0.3764,401.65,28.85,0.0,0.0022,Medium
22158,A,0.99,7,18228.8,5870,8.3977,3065.16,36.388,3.1054,2.33,224.32,283.1,702.51,0.6211,449.96,53.58,0.0,0.0,Low
84997C,A,0.99,7,18149.25,4983,7.1288,2602.0,23.2904,3.6422,2.33,143.58,193.48,597.66,0.7284,263.55,36.97,0.0,0.0003,Medium
84991,A,0.99,7,18059.149999999998,36172,51.7482,18888.1,114.3796,0.4993,2.33,705.1,1067.34,4349.27,0.0999,930.87,17.99,0.1279,0.0301,High
21622,A,0.99,7,17969.149999999998,3322,4.7525,1734.66,26.8255,5.4091,2.33,165.37,198.64,400.43,1.0818,327.08,68.82,0.0,0.0,Low
22138,A,0.99,7,17935.09,3634,5.1989,1897.58,16.8039,4.9354,2.33,103.59,139.98,438.46,0.9871,58.41,11.23,0.5828,0.3102,Critical
22622,A,0.99,7,17804.73,1850,2.6466,966.02,10.6295,9.6242,2.33,65.53,84.05,224.03,1.9248,12.03,4.55,0.8568,0.5913,Critical
21915,A,0.99,7,17473.72,15364,21.98,8022.69,123.0955,1.1373,2.33,758.83,912.69,1878.04,0.2275,247.42,11.26,0.7289,0.3869,Critical
84467,A,0.99,7,17397.76,814,1.1645,425.05,8.4689,21.3732,2.33,52.21,60.36,99.72,4.2746,88.88,76.32,0.0,0.0002,Medium
47590B,A,0.99,7,17313.86,3414,4.8841,1782.7,20.5413,5.0714,2.33,126.63,160.82,419.24,1.0143,157.21,32.19,0.0224,0.0118,High
22355,A,0.99,7,17300.04,14474,20.7067,7557.95,52.0398,1.1952,2.33,320.8,465.75,1778.11,0.239,189.29,9.14,0.5936,0.3737,Critical
21175,A,0.99,7,17242.010000000002,8644,12.3662,4513.68,34.3988,1.9947,2.33,212.05,298.62,1063.69,0.3989,314.14,25.4,0.0,0.0062,Medium
48184,A,0.99,7,17212.8,2730,3.9056,1425.54,19.1429,6.3051,2.33,118.01,145.35,336.22,1.261,56.6,14.49,0.6106,0.2817,Critical
84836,A,0.99,7,17061.35,14053,20.1044,7338.12,49.0538,1.2141,2.33,302.4,443.13,1738.42,0.2428,630.57,31.36,0.0,0.0001,Medium
22384,A,0.99,7,16838.17,10368,14.8326,5413.91,31.9853,1.6241,2.33,197.18,301.01,1291.04,0.3248,285.26,19.23,0.0523,0.016,High
21166,A,0.99,7,16745.69,9267,13.2575,4838.99,46.3281,1.807,2.33,285.59,378.4,1157.13,0.3614,311.78,23.52,0.1761,0.037,High
21231,A,0.99,7,16681.25,13452,19.2446,7024.29,42.4431,1.2401,2.33,261.64,396.36,1682.93,0.248,266.7,13.86,0.3271,0.1199,High
48188,A,0.99,7,16606.99,2817,4.03,1470.97,24.3266,5.8953,2.33,149.96,178.17,353.21,1.1791,231.19,57.37,0.0,0.0008,Medium
22734,A,0.99,7,16429.78,6559,9.3834,3424.94,62.8147,2.5049,2.33,387.23,452.91,826.83,0.501,356.64,38.01,0.2126,0.04,Critical
21955,A,0.99,7,16185.25,2677,3.8298,1397.86,23.0015,6.046,2.33,141.8,168.6,340.0,1.2092,44.94,11.73,0.7335,0.3829,Critical
22382,A,0.99,7,16141.38,9865,14.113,5151.25,28.1705,1.6362,2.33,173.66,272.45,1254.64,0.3272,88.33,6.26,0.6758,0.5558,Critical
21977,A,0.99,7,16125.56,31687,45.3319,16546.14,105.3965,0.5089,2.33,649.73,967.05,4031.96,0.1018,1864.09,41.12,0.0,0.0,Low
71459,A,0.99,7,16080.220000000001,19654,28.1173,10262.82,86.9807,0.8182,2.33,536.2,733.02,2504.37,0.1636,1338.72,47.61,0.0,0.0,Low
85152,A,0.99,7,15991.54,8330,11.917,4349.71,28.5153,1.9198,2.33,175.79,259.2,1064.37,0.384,370.52,31.09,0.0,0.0001,Medium
22866,A,0.99,7,15906.720000000001,7088,10.1402,3701.17,40.8782,2.2442,2.33,252.0,322.98,908.08,0.4488,195.45,19.27,0.3948,0.1249,Critical
20712,A,0.99,7,15875.37,8152,11.6624,4256.77,35.6249,1.9474,2.33,219.61,301.25,1045.43,0.3895,584.86,50.15,0.0,0.0,Low
85066,A,0.99,7,15766.599999999999,1277,1.8269,666.82,6.5732,12.3466,2.33,40.52,53.31,164.33,2.4693,84.21,46.09,0.0,0.0,Low
37449,A,0.99,7,15757.92,1646,2.3548,859.5,10.6183,9.5735,2.33,65.46,81.94,211.87,1.9147,119.81,50.88,0.0,0.0001,Medium
84406B,A,0.99,7,15636.88,5184,7.4163,2706.95,20.5956,3.0164,2.33,126.96,178.88,669.86,0.6033,170.61,23.0,0.0462,0.0147,High
84029G,A,0.99,7,15617.39,3942,5.6395,2058.41,18.48,3.9618,2.33,113.92,153.4,509.69,0.7924,94.69,16.79,0.3827,0.1294,Critical
21258,A,0.99,7,15590.49,1082,1.5479,564.99,5.0958,14.409,2.33,31.41,42.25,140.02,2.8818,11.96,7.73,0.7169,0.4667,Critical
22865,A,0.99,7,15503.78,6982,9.9886,3645.82,39.6593,2.2205,2.33,244.48,314.4,906.05,0.4441,570.62,57.13,0.0,0.0,Low
22752,A,0.99,7,15482.580000000002,1884,2.6953,983.78,13.3732,8.2179,2.33,82.44,101.31,244.65,1.6436,97.86,36.31,0.034,0.0128,High
22867,A,0.99,7,15361.53,6964,9.9628,3636.42,38.7955,2.2058,2.33,239.16,308.9,907.89,0.4412,149.66,15.02,0.5155,0.2181,Critical
85014A,A,0.99,7,15333.880000000001,3495,5.0,1825.0,39.1811,4.3874,2.33,241.54,276.54,456.05,0.8775,188.41,37.68,0.3187,0.0695,Critical
22385,A,0.99,7,15153.31,8246,11.7969,4305.85,37.1057,1.8377,2.33,228.74,311.32,1082.39,0.3675,373.75,31.68,0.0,0.0015,Medium
20711,A,0.99,7,15138.38,7813,11.1774,4079.75,39.4753,1.9376,2.33,243.35,321.59,1026.06,0.3875,140.17,12.54,0.5641,0.2766,Critical
22585,A,0.99,7,14913.119999999999,11718,16.7639,6118.84,42.2882,1.2727,2.33,260.69,378.04,1550.47,0.2545,653.09,38.96,0.0,0.0,Low
35004C,A,0.99,7,14873.63,2832,4.0515,1478.8,15.1499,5.252,2.33,93.39,121.75,375.21,1.0504,187.64,46.31,0.0,0.0,Low
22077,A,0.99,7,14808.57,8265,11.824,4315.77,28.2257,1.7917,2.33,174.0,256.77,1097.44,0.3583,376.67,31.86,0.0,0.0,Medium
20750,A,0.99,7,14791.24,2011,2.877,1050.09,7.3289,7.3552,2.33,45.18,65.32,267.18,1.471,60.16,20.91,0.079,0.0195,High
84755,A,0.99,7,14529.1,23642,33.8226,12345.25,107.1066,0.6145,2.33,660.27,897.03,3169.26,0.1229,1158.86,34.26,0.0,0.0006,Medium
20972,A,0.99,7,14429.14,11894,17.0157,6210.74,46.9155,1.2131,2.33,289.22,408.33,1599.93,0.2426,493.99,29.03,0.0,0.0013,Medium
82483,A,0.99,7,14426.570000000002,2605,3.7268,1360.26,8.8079,5.538,2.33,54.3,80.38,350.44,1.1076,107.29,28.79,0.0,0.0002,Medium
22149,A,0.99,7,14340.68,6777,9.6953,3538.78,23.7364,2.1161,2.33,146.33,214.19,914.42,0.4232,55.79,5.75,0.7396,0.5763,Critical
15036,A,0.99,7,14333.36,20354,29.1187,10628.34,110.9019,0.7042,2.33,683.67,887.5,2747.06,0.1408,789.9,27.13,0.11,0.0229,High
84970S,A,0.99,7,14322.07,17777,25.432,9282.7,54.0246,0.8057,2.33,333.04,511.06,2400.21,0.1611,91.51,3.6,0.8209,0.7275,Critical
21080,A,0.99,7,14281.49,17963,25.6981,9379.82,57.477,0.7951,2.33,354.32,534.21,2428.76,0.159,554.82,21.59,0.0,0.0068,Medium
22061,A,0.99,7,14122.81,1504,2.1516,785.35,9.2801,9.3902,2.33,57.21,72.27,204.49,1.878,52.52,24.41,0.2733,0.0635,Critical
22294,A,0.99,7,14065.69,11393,16.299,5949.13,44.2424,1.2346,2.33,272.74,386.83,1552.21,0.2469,144.9,8.89,0.6254,0.3962,Critical
21479,A,0.99,7,13937.23,2931,4.1931,1530.49,16.8732,4.7551,2.33,104.02,133.37,401.16,0.951,39.54,9.43,0.7035,0.4097,Critical
47566B,A,0.99,7,13881.63,3241,4.6366,1692.37,22.6928,4.2831,2.33,139.89,172.35,444.48,0.8566,209.67,45.22,0.0,0.0016,Medium
21930,A,0.99,7,13877.41,7199,10.299,3759.13,26.2056,1.9277,2.33,161.55,233.64,987.44,0.3855,99.09,9.62,0.5759,0.3485,Critical
85232B,A,0.99,7,13835.48,2758,3.9456,1440.16,17.1421,5.0165,2.33,105.67,133.29,378.87,1.0033,247.62,62.76,0.0,0.0,Low
20971,A,0.99,7,13803.8,10337,14.7883,5397.72,58.2594,1.3354,2.33,359.15,462.66,1421.63,0.2671,557.05,37.67,0.0,0.0016,Medium
48129,A,0.99,7,13743.130000000001,2241,3.206,1170.19,18.7065,6.1326,2.33,115.32,137.76,308.88,1.2265,104.57,32.62,0.2409,0.0485,Critical
20724,A,0.99,7,13702.32,14584,20.8641,7615.39,42.141,0.9395,2.33,259.78,405.83,2013.13,0.1879,496.23,23.78,0.0,0.0008,Medium
21481,A,0.99,7,13655.01,4516,6.4607,2358.14,23.0986,3.0237,2.33,142.39,187.62,624.45,0.6047,26.89,4.16,0.8567,0.6179,Critical
20748,A,0.99,7,13566.81,1547,2.2132,807.8,21.2043,8.7698,2.33,130.72,146.21,214.61,1.754,280.9,126.92,0.0,0.0,Low
21210,A,0.99,7,13538.869999999999,9405,13.4549,4911.05,35.1526,1.4395,2.33,216.7,310.89,1306.05,0.2879,315.98,23.48,0.0,0.0085,Medium
21314,A,0.99,7,13421.92,6309,9.0258,3294.4,41.8911,2.1274,2.33,258.24,321.42,879.93,0.4255,510.16,56.52,0.0,0.0,Low
22087,A,0.99,7,13392.94,4348,6.2203,2270.41,14.7159,3.0803,2.33,90.72,134.26,607.08,0.6161,34.53,5.55,0.7428,0.5915,Critical
22632,A,0.99,7,13337.19,6691,9.5722,3493.87,80.9065,1.9933,2.33,498.76,565.76,936.16,0.3987,579.71,60.56,0.0,0.0083,Medium
82600,A,0.99,7,13325.080000000002,6869,9.8269,3586.82,23.4259,1.9399,2.33,144.41,213.2,961.5,0.388,220.1,22.4,0.0,0.0073,Medium
48173C,A,0.99,7,13280.18,2298,3.2876,1199.96,21.3677,5.779,2.33,131.72,154.74,322.21,1.1558,291.19,88.57,0.0,0.0,Low
47590A,A,0.99,7,13278.130000000001,2672,3.8226,1395.25,21.2652,4.9694,2.33,131.09,157.85,374.68,0.9939,187.25,48.99,0.0,0.0022,Medium
35400,A,0.99,7,13238.5,1347,1.927,703.37,7.5073,9.8281,2.33,46.28,59.77,189.17,1.9656,59.75,31.0,0.0004,0.0099,High
21213,A,0.99,7,13224.609999999999,25353,36.2704,13238.69,101.93,0.5216,2.33,628.36,882.25,3562.3,0.1043,535.75,14.77,0.3927,0.148,Critical
22837,A,0.99,7,13084.24,2835,4.0558,1480.36,23.1806,4.6153,2.33,142.9,171.29,400.47,0.9231,125.04,30.83,0.27,0.0575,Critical
22444,A,0.99,7,13019.53,9495,13.5837,4958.05,38.9266,1.3712,2.33,239.97,335.05,1344.59,0.2742,364.97,26.87,0.0,0.0044,Medium
22629,A,0.99,7,12939.529999999999,6927,9.9099,3617.1,36.6992,1.868,2.33,226.24,295.61,983.96,0.3736,276.08,27.86,0.0661,0.0166,High
22381,A,0.99,7,12520.03,6000,8.5837,3133.05,26.9494,2.0867,2.33,166.13,226.22,866.45,0.4173,31.91,3.72,0.8589,0.6536,Critical
22556,A,0.99,7,12501.92,7605,10.8798,3971.14,44.5085,1.6439,2.33,274.38,350.54,1099.02,0.3288,585.38,53.8,0.0,0.0,Low
22551,A,0.99,7,12431.34,7408,10.598,3868.27,31.8445,1.6781,2.33,196.31,270.49,1073.58,0.3356,487.62,46.01,0.0,0.0,Low
22605,A,0.99,7,12381.51,1057,1.5122,551.94,8.5078,11.7138,2.33,52.45,63.03,153.49,2.3428,23.1,15.28,0.6335,0.2891,Critical
22507,A,0.99,7,12349.06,2717,3.887,1418.75,26.4405,4.5451,2.33,162.99,190.2,395.06,0.909,219.24,56.4,0.0,0.003,Medium
21791,A,0.99,7,12311.33,9627,13.7725,5026.97,41.4318,1.2788,2.33,255.41,351.82,1401.95,0.2558,107.76,7.82,0.6937,0.4588,Critical
72760B,A,0.99,7,12268.42,1287,1.8412,672.04,6.6269,9.5326,2.33,40.85,53.74,187.75,1.9065,74.01,40.2,0.0,0.0002,Medium
22630,A,0.99,7,12191.109999999999,6491,9.2861,3389.43,40.2162,1.8782,2.33,247.92,312.92,949.91,0.3756,198.5,21.38,0.3657,0.1048,Critical
22456,A,0.99,7,12149.86,2694,3.8541,1406.74,22.6388,4.51,2.33,139.56,166.54,394.92,0.902,225.31,58.46,0.0,0.0005,Medium
22297,A,0.99,7,12122.94,9432,13.4936,4925.15,32.7485,1.2853,2.33,201.88,296.34,1384.18,0.2571,438.96,32.53,0.0,0.0,Medium
22492,A,0.99,7,12006.32,18875,27.0029,9856.04,95.0376,0.6361,2.33,585.87,774.89,2783.4,0.1272,1209.16,44.78,0.0,0.0,Low
84978,A,0.99,7,11964.91,9140,13.0758,4772.68,28.2106,1.3091,2.33,173.91,265.44,1350.16,0.2618,80.88,6.19,0.6953,0.5567,Critical
15044A,A,0.99,7,11766.730000000001,4504,6.4435,2351.87,132.9123,2.6125,2.33,819.35,864.46,670.91,0.5225,1590.96,246.91,0.0,0.0,Low
21908,A,0.99,7,11714.69,6062,8.6724,3165.42,35.3179,1.9325,2.33,217.72,278.43,904.99,0.3865,149.63,17.25,0.4626,0.1706,Critical
48116,A,0.99,7,11707.04,1968,2.8155,1027.64,18.116,5.9487,2.33,111.68,131.39,293.9,1.1897,22.48,7.98,0.8289,0.477,Critical
79323W,A,0.99,7,11681.62,1924,2.7525,1004.66,19.5661,6.0715,2.33,120.62,139.89,287.64,1.2143,161.46,58.66,0.0,0.003,Medium
47591D,A,0.99,7,11613.27,6296,9.0072,3287.61,20.7953,1.8445,2.33,128.19,191.24,944.02,0.3689,153.9,17.09,0.1952,0.0493,High
21164,A,0.99,7,11609.12,4258,6.0916,2223.42,26.8626,2.7264,2.33,165.6,208.24,638.56,0.5453,349.13,57.31,0.0,0.0,Low
22624,A,0.99,7,11554.96,1340,1.917,699.71,5.1999,8.6231,2.33,32.06,45.47,201.43,1.7246,74.38,38.8,0.0,0.0,Low
85042,A,0.99,7,11492.01,2520,3.6052,1315.88,12.9727,4.5603,2.33,79.97,105.21,379.84,0.9121,73.92,20.5,0.2974,0.0781,Critical
