product_id,abc_class,risk_category,simulated_current_stock,safety_stock,reorder_point,avg_daily_demand,demand_std_dev,lead_time,stockout_probability,days_to_stockout
90214K,C,Critical,0.72,3.26,4.82,0.1116,0.6806,14,0.6293,6.47
21821,B,Critical,2.95,19.07,25.81,0.6738,3.6544,10,0.6285,4.38
21357,B,Critical,11.41,38.0,56.96,1.8956,7.2836,10,0.6284,6.02
90214J,C,Critical,0.7,3.93,5.64,0.1216,0.8212,14,0.6283,5.73
20699,C,Critical,2.43,6.56,10.63,0.2904,1.37,14,0.6255,8.35
90201A,C,Critical,0.47,3.04,4.26,0.0873,0.6353,14,0.6246,5.35
22705,B,Critical,18.6,50.37,78.62,2.8255,9.6534,10,0.6242,6.58
20686,B,Critical,3.08,8.54,13.21,0.4678,1.6359,10,0.6215,6.58
84313A,C,Critical,0.32,1.85,2.61,0.0544,0.3859,14,0.621,5.82
21620,B,Critical,1.34,8.24,11.11,0.2876,1.5785,10,0.6205,4.67
22753,B,Critical,11.72,40.41,59.63,1.9213,7.7453,10,0.6201,6.1
84711B,C,Critical,0.17,0.9,1.28,0.0272,0.1873,14,0.6196,6.15
84032B,A,Critical,12.9,92.1,116.9,3.5422,14.9407,7,0.6183,3.64
21481,A,Critical,26.89,142.39,187.62,6.4607,23.0986,7,0.6179,4.16
22666,A,Critical,17.07,67.74,93.5,3.681,10.9879,7,0.6175,4.64
82011B,C,Critical,0.43,2.52,3.54,0.073,0.5262,14,0.6174,5.94
20943,C,Critical,4.64,12.76,20.37,0.5436,2.6645,14,0.6173,8.53
62096A,C,Critical,3.72,8.94,14.72,0.4134,1.8657,14,0.6166,8.99
22680,C,Critical,6.67,17.6,28.33,0.7668,3.6746,14,0.6163,8.7
21663,C,Critical,0.57,3.54,4.93,0.0987,0.74,14,0.6149,5.81
84313B,C,Critical,1.15,3.98,6.03,0.1459,0.832,14,0.6135,7.85
22751,A,Critical,3.98,29.36,36.95,1.0844,4.7626,7,0.6129,3.67
22379,A,Critical,58.09,274.68,366.35,13.0959,44.558,7,0.6121,4.44
21098,A,Critical,30.23,174.66,225.81,7.3076,28.3324,7,0.6099,4.14
22534,A,Critical,45.45,333.39,418.74,12.1931,54.0809,7,0.6098,3.73
22754,B,Critical,19.49,56.52,85.37,2.8856,10.8319,10,0.6077,6.75
90204,C,Critical,0.21,1.08,1.52,0.0315,0.2249,14,0.6076,6.7
22600,A,Critical,19.5,112.29,144.94,4.6638,18.2161,7,0.6075,4.18
22195,A,Critical,23.52,79.87,112.67,4.6853,12.957,7,0.6067,5.02
37509,C,Critical,0.22,1.54,2.08,0.0386,0.3211,14,0.606,5.63
22223,B,Critical,2.52,9.62,13.69,0.4077,1.843,10,0.6054,6.18
21402,C,Critical,4.08,11.91,18.48,0.4692,2.4872,14,0.6053,8.7
22531,B,Critical,32.14,237.54,307.93,7.0386,45.5252,10,0.6047,4.57
47578A,C,Critical,1.11,4.52,6.56,0.1459,0.9433,14,0.6044,7.6
21222,C,Critical,4.93,11.15,18.32,0.5122,2.3279,14,0.6016,9.62
22438,B,Critical,3.76,18.95,25.66,0.671,3.6314,10,0.6014,5.6
84874B,C,Critical,0.5,2.09,3.01,0.0658,0.4365,14,0.6013,7.63
85039A,C,Critical,8.16,35.51,50.69,1.0844,7.4145,14,0.6,7.52
72816,B,Critical,4.76,21.54,29.58,0.804,4.1276,10,0.5991,5.93
21736,C,Critical,1.28,5.03,7.29,0.1617,1.0494,14,0.5986,7.93
35653,C,Critical,2.42,5.06,8.46,0.2432,1.0562,14,0.5984,9.95
22469,A,Critical,80.32,271.87,381.06,15.598,44.1023,7,0.5977,5.15
20914,A,Critical,92.12,293.31,416.38,17.5808,47.5802,7,0.5971,5.24
21198,C,Critical,3.13,10.08,15.1,0.3591,2.1036,14,0.5955,8.7
84509A,B,Critical,6.93,15.01,24.08,0.907,2.8769,10,0.5928,7.65
22087,A,Critical,34.53,90.72,134.26,6.2203,14.7159,7,0.5915,5.55
22622,A,Critical,12.03,65.53,84.05,2.6466,10.6295,7,0.5913,4.55
20956,B,Critical,12.7,66.15,88.09,2.1946,12.6774,10,0.5912,5.79
21474,A,Critical,1.34,7.05,9.09,0.2904,1.1443,7,0.5909,4.6
22738,A,Critical,14.85,99.02,123.37,3.4793,16.062,7,0.5885,4.27
21095,C,Critical,2.19,7.94,11.5,0.2546,1.6571,14,0.5879,8.59
22278,A,Critical,4.14,24.53,30.96,0.9199,3.9784,7,0.5866,4.5
21454,C,Critical,4.78,13.44,20.51,0.505,2.8067,14,0.5862,9.47
90026A,C,Critical,0.08,0.6,0.78,0.0129,0.1249,14,0.5855,6.16
22378,A,Critical,11.0,41.1,55.91,2.1159,6.6668,7,0.5854,5.2
84531A,C,Critical,0.55,2.69,3.69,0.0715,0.562,14,0.5853,7.66
90203,C,Critical,0.92,2.89,4.3,0.1001,0.6044,14,0.5836,9.23
84977,C,Critical,3.26,7.31,11.76,0.3176,1.527,14,0.5825,10.25
22420,C,Critical,11.75,24.52,40.21,1.1202,5.1203,14,0.5813,10.49
90002C,C,Critical,0.37,1.56,2.18,0.0443,0.3248,14,0.5812,8.39
35607A,C,Critical,6.23,27.47,38.04,0.7554,5.735,14,0.5802,8.25
21793,C,Critical,0.71,1.77,2.75,0.0701,0.37,14,0.5787,10.08
85215,C,Critical,8.52,24.53,36.84,0.8798,5.1209,14,0.5785,9.69
85194L,C,Critical,10.85,42.67,60.01,1.2389,8.9087,14,0.5772,8.76
22393,C,Critical,3.0,17.29,22.91,0.402,3.6091,14,0.5772,7.46
22149,A,Critical,55.79,146.33,214.19,9.6953,23.7364,7,0.5763,5.75
85168A,C,Critical,0.27,1.17,1.61,0.0315,0.2433,14,0.5762,8.44
85135B,B,Critical,1.17,3.31,4.86,0.1545,0.6348,10,0.5742,7.57
85129D,B,Critical,6.45,17.63,26.04,0.8412,3.3785,10,0.5728,7.67
22637,A,Critical,14.3,51.24,69.58,2.6195,8.3119,7,0.5728,5.46
21194,C,Critical,1.1,3.52,5.12,0.1144,0.7348,14,0.5721,9.64
21106,B,Critical,6.45,14.75,22.82,0.8069,2.8276,10,0.5719,7.99
84880,A,Critical,10.32,58.72,73.61,2.1259,9.5261,7,0.5718,4.85
21676,C,Critical,14.74,31.62,50.74,1.3662,6.6012,14,0.5704,10.79
90060F,C,Critical,0.23,1.66,2.12,0.0329,0.3474,14,0.5704,6.99
22772,B,Critical,7.18,26.62,36.62,1.0,5.1024,10,0.5694,7.18
84707A,C,Critical,0.46,1.65,2.33,0.0486,0.3435,14,0.5689,9.41
22353,A,Critical,23.16,86.92,116.55,4.2332,14.1003,7,0.5688,5.47
79191D,C,Critical,1.44,4.56,6.6,0.1459,0.9524,14,0.5675,9.85
72789,C,Critical,1.61,4.76,7.0,0.1602,0.9929,14,0.5674,10.06
22164,C,Critical,3.18,12.76,17.63,0.3476,2.6648,14,0.5671,9.15
72129,C,Critical,0.92,4.34,5.83,0.1059,0.907,14,0.5661,8.66
22536,B,Critical,58.14,189.55,266.79,7.7239,36.3288,10,0.566,7.53
21738,B,Critical,4.23,13.6,19.19,0.5594,2.6066,10,0.5658,7.56
20899,C,Critical,0.45,3.36,4.24,0.0629,0.7012,14,0.5648,7.2
21720,B,Critical,11.22,33.17,47.65,1.4478,6.3581,10,0.5643,7.75
16156N,C,Critical,24.42,40.54,70.08,2.1102,8.4647,14,0.5643,11.57
84596F,B,Critical,11.18,31.01,45.23,1.422,5.9425,10,0.5643,7.86
84915,C,Critical,0.34,1.13,1.62,0.0343,0.2369,14,0.5637,9.86
21466,B,Critical,7.45,16.57,25.62,0.9056,3.1749,10,0.5636,8.23
21464,B,Critical,3.44,8.46,12.73,0.4263,1.6223,10,0.5635,8.08
16169K,C,Critical,25.43,102.72,140.77,2.7182,21.4478,14,0.5625,9.36
20753,C,Critical,2.82,12.31,16.64,0.309,2.5708,14,0.5624,9.11
85214,C,Critical,6.14,10.26,17.61,0.525,2.1419,14,0.56,11.7
90195B,C,Critical,0.64,2.4,3.32,0.0658,0.5007,14,0.5594,9.75
21459,C,Critical,1.9,14.17,17.72,0.2532,2.9587,14,0.559,7.51
35931,C,Critical,1.73,12.12,15.24,0.2232,2.5298,14,0.5586,7.75
84683,C,Critical,4.83,22.03,29.38,0.525,4.5992,14,0.5583,9.2
84559B,B,Critical,11.7,28.9,43.16,1.4263,5.539,10,0.5582,8.2
90200A,C,Critical,1.59,3.6,5.6,0.1431,0.751,14,0.5582,11.12
84978,A,Critical,80.88,173.91,265.44,13.0758,28.2106,7,0.5567,6.19
90037A,C,Critical,0.3,1.8,2.3,0.0358,0.3749,14,0.5564,8.43
84378,A,Critical,46.52,124.52,178.56,7.7196,20.1993,7,0.5559,6.03
22382,A,Critical,88.33,173.66,272.45,14.113,28.1705,7,0.5558,6.26
84684,C,Critical,6.64,41.48,52.64,0.7969,8.6613,14,0.5554,8.33
84507C,C,Critical,4.64,24.67,32.0,0.5236,5.1502,14,0.5554,8.87
21179,B,Critical,25.72,97.81,131.75,3.3934,18.7458,10,0.5551,7.58
35995,C,Critical,0.06,0.4,0.5,0.0072,0.0843,14,0.555,7.89
75131,B,Critical,6.43,48.96,59.4,1.0443,9.3836,10,0.5538,6.15
90173,C,Critical,0.89,2.26,3.38,0.0801,0.472,14,0.5521,11.11
85081,C,Critical,1.54,5.31,7.39,0.1488,1.109,14,0.5516,10.38
22914,C,Critical,1.62,10.18,12.8,0.1874,2.1252,14,0.55,8.66
17181,C,Critical,5.2,19.15,26.22,0.505,3.9983,14,0.5498,10.29
90019B,C,Critical,0.21,0.9,1.2,0.0215,0.188,14,0.5498,9.9
90025E,C,Critical,0.08,0.44,0.56,0.0086,0.0923,14,0.5491,9.04
21946,C,Critical,6.21,48.28,59.08,0.7711,10.0816,14,0.5484,8.06
22437,A,Critical,26.61,206.8,244.13,5.3333,33.5466,7,0.5481,4.99
17096,C,Critical,48.81,268.98,343.01,5.2876,56.1628,14,0.5477,9.23
72781,C,Critical,1.39,9.9,12.21,0.1645,2.0677,14,0.5468,8.47
22275,A,Critical,7.86,31.17,40.6,1.3462,5.057,7,0.5465,5.84
44091C,C,Critical,0.79,4.85,6.07,0.0873,1.0126,14,0.5457,9.02
22344,C,Critical,6.15,13.84,21.21,0.5265,2.8891,14,0.545,11.68
79320,A,Critical,7.41,31.2,40.1,1.2718,5.0613,7,0.5443,5.83
85114c,C,Critical,0.33,2.23,2.75,0.0372,0.4652,14,0.5441,8.81
35810B,C,Critical,2.87,7.2,10.68,0.2489,1.503,14,0.5436,11.53
21750,C,Critical,3.51,10.76,15.19,0.3162,2.2473,14,0.5432,11.12
20984,C,Critical,25.58,151.4,189.41,2.7153,31.6111,14,0.5419,9.42
90129D,C,Critical,0.85,2.81,3.89,0.0773,0.5862,14,0.5418,11.02
84926C,C,Critical,2.1,6.79,9.43,0.1888,1.4168,14,0.541,11.11
72807A,A,Critical,4.57,26.05,31.76,0.8155,4.2256,7,0.5405,5.61
35001W,A,Critical,6.63,45.04,53.62,1.226,7.3067,7,0.5402,5.41
84864A,C,Critical,0.09,0.7,0.84,0.01,0.1463,14,0.5401,8.5
21884,C,Critical,5.03,9.66,15.42,0.412,2.0162,14,0.5389,12.21
90199A,C,Critical,0.2,0.74,1.0,0.0186,0.1549,14,0.5388,10.96
90082B,C,Critical,0.63,2.04,2.82,0.0558,0.4263,14,0.5386,11.23
21810,B,Critical,13.68,51.73,68.45,1.6724,9.914,10,0.5386,8.18
72798C,C,Critical,0.33,1.46,1.91,0.0315,0.3059,14,0.538,10.53
20703,B,Critical,5.81,9.65,16.02,0.6366,1.8495,10,0.5378,9.13
21708,B,Critical,4.59,24.54,30.53,0.5994,4.7032,10,0.5375,7.66
22412,A,Critical,13.15,46.16,61.15,2.1416,7.4874,7,0.5371,6.14
21547,B,Critical,6.37,53.17,62.42,0.9256,10.1895,10,0.5357,6.88
22893,C,Critical,14.26,54.81,72.87,1.2904,11.4433,14,0.5354,11.05
20987,C,Critical,1.8,11.97,14.59,0.1874,2.4994,14,0.5353,9.58
82613D,B,Critical,6.52,11.91,19.07,0.7153,2.2831,10,0.5352,9.11
85086A,C,Critical,8.01,11.92,20.75,0.6309,2.488,14,0.5351,12.7
35001B,C,Critical,0.2,1.52,1.82,0.0215,0.3182,14,0.5348,9.15
22805,C,Critical,7.36,18.02,26.56,0.6094,3.7635,14,0.5331,12.08
85116,B,Critical,12.88,57.4,73.12,1.5722,11.0002,10,0.5325,8.19
37379A,C,Critical,0.54,2.3,2.98,0.0486,0.4793,14,0.5312,11.11
22834,A,Critical,22.76,102.92,129.11,3.7425,16.6947,7,0.531,6.08
21561,A,Critical,15.16,55.07,72.04,2.4249,8.933,7,0.5306,6.25
90137,C,Critical,0.37,1.56,2.02,0.0329,0.3261,14,0.5305,11.17
20763,C,Critical,3.07,13.03,16.88,0.2747,2.7214,14,0.5303,11.19
35840,C,Critical,0.67,3.58,4.46,0.0629,0.7468,14,0.5301,10.64
22451,A,Critical,10.22,45.84,57.5,1.6652,7.436,7,0.529,6.14
84454,C,Critical,1.45,7.59,9.46,0.133,1.5855,14,0.5274,10.93
85226A,B,Critical,19.74,100.49,124.36,2.3877,19.2587,10,0.5271,8.27
85145,C,Critical,0.83,3.72,4.74,0.073,0.7769,14,0.5262,11.39
37441,B,Critical,8.26,44.9,54.9,1.0,8.6057,10,0.5255,8.26
84030E,A,Critical,6.43,33.01,40.33,1.0458,5.3551,7,0.525,6.15
84562A,B,Critical,2.15,6.11,8.48,0.2375,1.1707,10,0.5243,9.05
22098,B,Critical,11.85,28.61,41.46,1.2847,5.483,10,0.523,9.22
16169C,C,Critical,24.83,50.84,77.88,1.9313,10.6145,14,0.5222,12.86
21133,C,Critical,7.28,21.8,30.02,0.5866,4.5527,14,0.5218,12.41
37508,C,Critical,1.63,3.56,5.34,0.1273,0.7433,14,0.5213,12.83
22228,C,Critical,13.06,20.57,34.47,0.9928,4.2955,14,0.5209,13.15
84873A,C,Critical,0.51,2.25,2.86,0.0429,0.4708,14,0.5207,11.87
72800D,B,Critical,6.27,54.08,62.02,0.794,10.3646,10,0.5203,7.9
22869,C,Critical,1.05,8.93,10.33,0.1001,1.8639,14,0.5202,10.48
22896,B,Critical,6.41,25.96,33.16,0.7196,4.9754,10,0.5199,8.91
82616C,C,Critical,5.37,24.63,30.92,0.4492,5.1431,14,0.5191,11.95
84569D,C,Critical,10.91,16.8,28.34,0.824,3.5075,14,0.519,13.24
84247E,C,Critical,2.78,9.18,12.31,0.2232,1.9178,14,0.5189,12.47
85231E,C,Critical,15.34,31.43,47.91,1.1774,6.5618,14,0.5186,13.03
84926D,C,Critical,1.17,5.39,6.75,0.0973,1.125,14,0.518,12.04
20812,C,Critical,0.08,0.54,0.64,0.0072,0.1133,14,0.5175,11.4
79302m,C,Critical,0.07,0.36,0.44,0.0057,0.0755,14,0.5173,11.86
22821,C,Critical,9.89,18.9,29.4,0.7496,3.9469,14,0.5164,13.19
85114C,B,Critical,9.53,22.54,32.62,1.0086,4.3189,10,0.5163,9.45
72754B,C,Critical,2.97,13.46,16.87,0.2432,2.8113,14,0.5163,12.23
90003D,C,Critical,0.49,1.66,2.2,0.0386,0.3468,14,0.5163,12.63
20864,C,Critical,4.42,20.19,25.22,0.3591,4.2153,14,0.5155,12.3
22587,B,Critical,16.89,48.42,66.43,1.8011,9.2801,10,0.5153,9.38
84932C,C,Critical,5.28,11.65,17.28,0.402,2.4331,14,0.5151,13.14
82001s,C,Critical,0.05,0.4,0.46,0.0043,0.0845,14,0.515,11.23
21713,A,Critical,17.37,71.84,90.36,2.6452,11.6535,7,0.5148,6.57
84879,A,Critical,431.42,1098.03,1546.64,64.0873,178.1191,7,0.5146,6.73
21581,B,Critical,12.14,52.11,65.38,1.3276,9.9865,10,0.5143,9.15
22377,A,Critical,20.35,136.68,159.11,3.2046,22.1715,7,0.5142,6.35
85136A,C,Critical,1.6,2.43,4.09,0.1187,0.5066,14,0.5142,13.43
35265,C,Critical,0.07,0.36,0.44,0.0057,0.0755,14,0.5139,12.28
90058B,C,Critical,8.74,25.07,34.48,0.6724,5.2346,14,0.5137,13.0
20877,C,Critical,0.21,1.25,1.49,0.0172,0.2617,14,0.5135,12.07
22940,A,Critical,16.43,64.26,81.55,2.4707,10.4237,7,0.5126,6.65
90167,B,Critical,25.31,96.31,123.45,2.7139,18.4585,10,0.5125,9.33
84917,C,Critical,0.91,2.3,3.26,0.0687,0.4798,14,0.5124,13.18
21245,B,Critical,20.6,44.96,66.4,2.1431,8.6176,10,0.5121,9.61
16168M,C,Critical,25.12,75.31,102.19,1.9199,15.7245,14,0.5119,13.08
22182,B,Critical,2.62,10.03,12.83,0.2804,1.9215,10,0.5119,9.35
79328,C,Critical,10.94,38.74,50.55,0.8441,8.0882,14,0.5115,12.97
POST,A,Critical,21.08,39.81,61.38,3.0815,6.4582,7,0.5115,6.84
22614,B,Critical,38.08,78.21,117.56,3.9342,14.99,10,0.5106,9.68
21626,B,Critical,9.43,19.31,29.03,0.9714,3.7011,10,0.5096,9.71
62086A,C,Critical,0.47,1.85,2.35,0.0358,0.3862,14,0.5095,13.04
90176D,C,Critical,0.07,0.44,0.52,0.0057,0.0925,14,0.5089,12.64
84586L,C,Critical,0.28,1.1,1.4,0.0215,0.2292,14,0.5088,13.12
46776D,C,Critical,1.22,2.84,4.1,0.0901,0.5928,14,0.5084,13.48
84968F,B,Critical,1.72,4.46,6.23,0.1774,0.8548,10,0.5077,9.71
90174,C,Critical,0.25,0.7,0.96,0.0186,0.1454,14,0.5075,13.45
18097C,B,Critical,15.4,49.17,65.14,1.5966,9.4238,10,0.5075,9.65
22376,B,Critical,4.08,7.31,11.47,0.4163,1.4009,10,0.5072,9.81
84609,C,Critical,0.99,2.53,3.55,0.073,0.5289,14,0.5062,13.58
21192,B,Critical,15.29,40.1,55.76,1.5665,7.6847,10,0.5061,9.76
22361,A,Critical,10.25,50.43,61.0,1.5107,8.1802,7,0.5059,6.79
90214T,C,Critical,0.63,2.67,3.33,0.0472,0.5581,14,0.5052,13.42
71215,C,Critical,3.22,13.36,16.71,0.2389,2.7905,14,0.5049,13.47
22597,B,Critical,25.75,62.67,88.88,2.6209,12.0112,10,0.5049,9.82
22547,C,Critical,24.11,42.62,67.12,1.7496,8.8991,14,0.5046,13.78
22331,A,Critical,18.29,77.57,96.25,2.6681,12.5838,7,0.5046,6.85
21639,C,Critical,4.87,18.24,23.27,0.3591,3.8094,14,0.5043,13.57
16239,C,Critical,6.56,53.09,60.04,0.4964,11.0844,14,0.5038,13.21
72715,C,Critical,1.73,4.63,6.39,0.1259,0.9672,14,0.5031,13.78
84288B,C,Critical,1.16,3.72,4.91,0.0844,0.7776,14,0.503,13.74
21367,C,Critical,0.86,4.42,5.3,0.0629,0.9235,14,0.5023,13.69
90190A,C,Critical,0.56,1.34,1.9,0.0401,0.2804,14,0.5022,13.86
22602,A,Critical,42.44,143.7,186.45,6.1073,23.3104,7,0.502,6.95
22689,A,Critical,3.67,24.19,27.9,0.5308,3.9234,7,0.5018,6.91
90002A,C,Critical,0.71,2.1,2.82,0.0515,0.4384,14,0.5018,13.86
90116,C,Critical,0.87,2.73,3.61,0.0629,0.5706,14,0.5012,13.9
21528,A,Critical,6.68,51.94,58.66,0.9599,8.4254,7,0.5007,6.96
85186C,C,Critical,16.96,28.0,44.98,1.2132,5.8453,14,0.5004,13.98
20816,C,Critical,0.22,1.73,1.95,0.0157,0.3607,14,0.5002,13.96
72771C,C,Critical,1.08,6.27,7.36,0.0773,1.31,14,0.5,14.0
20885,C,Low,0.0,0.0,0.0,0.0,0.0,14,0.5,999.0
21525,C,Low,0.0,0.0,0.0,0.0,0.0,14,0.5,999.0
20822,C,Low,0.0,0.0,0.0,0.0,0.0,14,0.5,999.0
21475,C,Low,0.0,0.0,0.0,0.0,0.0,14,0.5,999.0
22245,A,Critical,34.17,103.43,137.55,4.8741,16.7777,7,0.4996,7.01
90185B,C,Critical,0.7,2.68,3.39,0.0501,0.5605,14,0.4994,14.06
84963A,B,Critical,0.33,2.02,2.35,0.0329,0.3865,10,0.4992,10.07
20996,B,Critical,45.31,226.94,271.75,4.4807,43.4945,10,0.4986,10.11
21780,B,Critical,2.94,14.78,17.69,0.2904,2.833,10,0.4984,10.12
90214V,C,Critical,0.28,0.76,1.04,0.02,0.1593,14,0.4979,14.15
20981,B,Critical,39.49,77.38,116.56,3.9185,14.8295,10,0.4974,10.08
90000B,C,Critical,0.37,0.95,1.31,0.0258,0.1986,14,0.497,14.21
16169D,C,Critical,5.16,22.14,27.14,0.3577,4.6219,14,0.4965,14.42
84520b,C,Critical,2.27,10.05,12.25,0.1574,2.0974,14,0.4965,14.43
84251B,C,Critical,1.58,5.32,6.84,0.1087,1.1098,14,0.4945,14.53
85078,C,Critical,7.2,15.0,22.03,0.5021,3.1319,14,0.4941,14.34
22977,C,Critical,2.31,8.88,11.09,0.1574,1.8546,14,0.494,14.66
22453,B,Critical,6.17,21.21,27.17,0.5966,4.0644,10,0.4937,10.34
84971L,C,Critical,11.64,32.23,43.45,0.8011,6.7303,14,0.4932,14.53
90051,C,Critical,0.15,0.54,0.68,0.01,0.1131,14,0.4924,14.81
22422,B,Critical,22.0,60.43,81.72,2.1288,11.5816,10,0.4923,10.33
90036F,C,Critical,0.38,1.28,1.64,0.0258,0.2664,14,0.4914,14.83
71270,C,Critical,2.91,7.3,10.08,0.1989,1.5241,14,0.4909,14.66
46137D,C,Critical,1.01,5.76,6.66,0.0644,1.203,14,0.4907,15.63
17012A,C,Critical,8.96,40.18,48.35,0.5837,8.389,14,0.49,15.35
21364,A,Critical,4.9,43.45,47.87,0.6323,7.048,7,0.4899,7.75
85028L,C,Critical,5.25,27.1,31.81,0.3362,5.6589,14,0.4898,15.61
90099,C,Critical,0.47,1.49,1.93,0.0315,0.3105,14,0.4896,14.96
90214I,C,Critical,0.44,2.13,2.53,0.0286,0.4437,14,0.4895,15.53
21246,B,Critical,6.79,12.8,19.37,0.6567,2.454,10,0.4887,10.33
84884A,A,Critical,15.18,75.85,90.08,2.0329,12.3036,7,0.4884,7.47
84916,C,Critical,0.92,1.51,2.39,0.0629,0.3149,14,0.4881,14.56
22783,C,Critical,0.56,1.73,2.25,0.0372,0.3611,14,0.4879,15.1
84608,C,Critical,0.09,0.57,0.65,0.0057,0.1196,14,0.4875,16.45
22021,B,Critical,15.86,35.6,50.76,1.5165,6.8226,10,0.4871,10.46
84251G,C,Critical,4.28,8.27,12.33,0.2904,1.7263,14,0.4868,14.74
85151,C,Critical,1.0,4.55,5.44,0.0629,0.951,14,0.4865,15.92
85033S,C,Critical,5.53,13.19,18.34,0.3677,2.7541,14,0.4854,15.03
90090,C,Critical,5.05,17.8,22.32,0.3233,3.7157,14,0.4851,15.61
46037A,C,Critical,0.14,0.81,0.93,0.0086,0.1691,14,0.4848,16.82
35930,C,Critical,0.03,0.18,0.2,0.0014,0.0378,14,0.4846,17.83
90003B,C,Critical,0.59,1.72,2.26,0.0386,0.359,14,0.4844,15.36
22608,C,Critical,10.6,25.08,34.88,0.6996,5.2375,14,0.4836,15.15
85183B,B,Critical,12.29,62.44,73.09,1.0644,11.9676,10,0.4826,11.55
22669,A,Critical,13.81,40.13,53.16,1.8612,6.5105,7,0.4818,7.42
72807C,A,Critical,14.15,65.56,78.42,1.8369,10.6347,7,0.4817,7.7
90201B,C,Critical,1.4,3.22,4.51,0.0916,0.673,14,0.4815,15.27
20982,B,Critical,40.67,53.04,92.23,3.9185,10.1654,10,0.4815,10.38
37483,C,Critical,3.65,22.16,25.0,0.2031,4.6266,14,0.4814,17.97
